block,div,thisN,thisTrialN,thisRepN,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_txt.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,shape_stim.started,stim.started,stim.stopped,shape_stim.stopped,stim_pos,stim_file_pos,valence,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,disp_order,disp_div,target_pos,anchor,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Lcoin.started,Rcoin.started,Lcross.started,Rcross.started,feedback.stopped,correct,outcome,Mcoin.started,Mcross.started,end_block.started,block_end_text.started,end_block.stopped,block_outcome,block_bonus,subj,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 84
1,0,0,0,0,return,1.726306583,,,,"['right', 'right']","[1.0021676250034943, 1.2480265829944983]","[0.13609508308582008, 0.09589045902248472]",return,1.606321083,,0,0,0,0,0,0,0,0,2.087269417,,0.037850083,0.174042875,0.174042875,1.905516458,return,1.726306583,,2.072791083,2.909557958,4.392936833,3.89657225,-0.08463435,1.6,pen,4.385672417,5.472296083,5.472296083,5.472296083,5.472296083,5.472296083,5.472296083,5.472296083,7.0968665,rew_pen,0,0.08463435,-0.239553448,"[-0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.24, -0.23, -0.22, -0.21, -0.2, -0.19, -0.18, -0.17, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.15, -0.14, -0.13, -0.12, -0.11, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1]",,,"['right', 'right']","[1.0021676250034943, 1.2480265829944983]","[0.13609508308582008, 0.09589045902248472]",return,1.606321083,,7.235773375,7.246448875,7.246448875,7.246448875,7.246448875,7.246448875,8.596525708,-1,-2,,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,1,0,1,return,1.726306583,,,,['left'],[0.3593155830167234],[0.09199383296072483],return,0.675977125,,0,0,0,0,1,0,1,0,8.949640333,,,,,,,,,8.942950708,9.654071208,,10.60755146,0.22429308,3.1,rew,10.97590938,12.16069175,12.16069175,12.16069175,12.16069175,12.16069175,12.16069175,12.16069175,12.845269,rew_pen,0,-0.22429308,-0.028601086,"[-0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.029, -0.039, -0.049, -0.059, -0.069, -0.079, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089, -0.089]",,,['left'],[0.3593155830167234],[0.09199383296072483],return,0.675977125,,12.95924696,12.96806267,12.96806267,12.96806267,,,14.32918383,1,2,,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,2,0,2,return,1.726306583,,,,['right'],[0.5011330840643495],[0.7601438749115914],return,1.363500917,,0,0,0,0,2,0,2,0,14.45442125,,,,,,,,,14.44847579,15.34052958,16.64883688,16.32930704,-0.104862432,1.5,pen,16.64216363,17.88497338,17.88497338,17.88497338,17.88497338,17.88497338,17.88497338,17.88497338,19.26458,rew_pen,0,0.104862432,-0.36155344,"[-0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.362, -0.352, -0.342, -0.332, -0.322, -0.312, -0.302, -0.292, -0.282, -0.272, -0.262, -0.252, -0.242, -0.232, -0.222, -0.212, -0.202, -0.192, -0.182, -0.172, -0.162, -0.152, -0.142, -0.132, -0.122, -0.112, -0.102, -0.092, -0.082, -0.072, -0.062, -0.052, -0.042, -0.032, -0.022, -0.012, -0.002, 0.008, 0.018, 0.028, 0.038, 0.048, 0.058, 0.068, 0.078, 0.088, 0.098, 0.098, 0.098, 0.098, 0.098, 0.098, 0.098, 0.098]",,,['right'],[0.5011330840643495],[0.7601438749115914],return,1.363500917,,19.37585154,19.3842,,,,,20.76273554,1,1,19.3842,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,3,0,3,return,1.726306583,,,,['right'],[0.5843886249931529],[0.6719908330123872],return,1.264311791,,0,0,0,0,3,0,3,0,21.05652538,,,,,,,,,21.05023408,21.82242471,,22.77444867,0.14663566,2.7,rew,23.18678033,24.33865279,24.33865279,24.33865279,24.33865279,24.33865279,24.33865279,24.33865279,25.61576988,pen_rew,0,0.14663566,-0.268560345,"[-0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.269, -0.259, -0.249, -0.239, -0.229, -0.219, -0.209, -0.199, -0.189, -0.179, -0.169, -0.159, -0.149, -0.139, -0.129, -0.119, -0.109, -0.099, -0.089, -0.079, -0.069, -0.059, -0.049, -0.039, -0.029, -0.019, -0.009, 0.001, 0.011, 0.021, 0.031, 0.041, 0.051, 0.061, 0.071, 0.081, 0.091, 0.101, 0.111, 0.121, 0.131, 0.141, 0.141]",,,['right'],[0.5843886249931529],[0.6719908330123872],return,1.264311791,,25.72501983,25.73375271,25.73375271,25.73375271,,,27.10493496,1,2,,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,4,0,4,return,1.726306583,,,,"['right', 'right', 'right']","[0.6641259590396658, 1.1106584999943152, 1.322175292065367]","[0.2603460829705, 0.10496124997735023, 0.07196874998044223]",return,1.475424084,,0,0,0,0,4,0,4,0,27.25626542,,,,,,,,,27.24976571,28.10696813,29.40967771,29.09640367,0.13518506,2.7,rew,29.40281342,30.64813046,30.64813046,30.64813046,30.64813046,30.64813046,30.64813046,30.64813046,32.13123296,pen_rew,0,0.13518506,-0.290056647,"[-0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.29, -0.28, -0.27, -0.26, -0.25, -0.24, -0.23, -0.22, -0.21, -0.2, -0.19, -0.18, -0.17, -0.16, -0.15, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.13, -0.12, -0.11, -0.1, -0.09, -0.08, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.06, -0.05, -0.04, -0.03, -0.03, -0.03, -0.03, -0.03, -0.03, -0.03]",,,"['right', 'right', 'right']","[0.6641259590396658, 1.1106584999943152, 1.322175292065367]","[0.2603460829705, 0.10496124997735023, 0.07196874998044223]",return,1.475424084,,32.24307042,32.25185846,,,,,33.62944867,-1,-1,32.25185846,32.25185846,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,5,0,5,return,1.726306583,,,,"['right', 'left']","[0.7176887500099838, 0.9129550829529762]","[0.13201716600451618, 0.3677081670612097]",return,1.534078375,,0,0,0,0,5,0,5,0,33.74170258,,,,,,,,,33.7351335,34.64043575,35.99205642,35.62946638,-0.021885212,1.9,pen,35.98531763,37.19747158,37.19747158,37.19747158,37.19747158,37.19747158,37.19747158,37.19747158,38.74657067,rew_pen,0,0.021885212,0.225056453,"[0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.225, 0.235, 0.245, 0.255, 0.265, 0.275, 0.285, 0.295, 0.305, 0.305, 0.305, 0.305, 0.305, 0.295, 0.285, 0.275, 0.265, 0.255, 0.245, 0.235, 0.225, 0.215, 0.205, 0.195, 0.185, 0.175, 0.165, 0.155, 0.145, 0.135, 0.125, 0.115, 0.105, 0.095, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085, 0.085]",,,"['right', 'left']","[0.7176887500099838, 0.9129550829529762]","[0.13201716600451618, 0.3677081670612097]",return,1.534078375,,38.85654679,38.86500338,,,,,40.23757608,1,1,38.86500338,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,6,0,6,return,1.726306583,,,,['right'],[0.6067290420178324],[0.37194470805116],return,1.133889042,,0,0,0,0,6,0,6,0,40.3326225,,,,,,,,,40.326722,41.23908592,42.55272492,42.22929529,0.120503365,2.6,rew,42.54607083,43.77931042,43.77931042,43.77931042,43.77931042,43.77931042,43.77931042,43.77931042,44.93080508,rew_pen,0,-0.120503365,-0.275360695,"[-0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.275, -0.265, -0.255, -0.245, -0.235, -0.225, -0.215, -0.205, -0.195, -0.185, -0.175, -0.165, -0.155, -0.145, -0.135, -0.125, -0.115, -0.105, -0.095, -0.085, -0.075, -0.065, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055, -0.055]",,,['right'],[0.6067290420178324],[0.37194470805116],return,1.133889042,,45.03659779,45.04527617,45.04527617,45.04527617,,,46.42976471,1,2,,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,7,0,7,return,1.726306583,,,,"['right', 'left']","[0.6237178749870509, 1.1124007500475273]","[0.11950079200323671, 0.12410295894369483]",return,1.331502084,,0,0,0,0,7,0,7,0,46.72197404,,,,,,,,,46.71537842,47.49130792,,48.43972646,0.268090696,3.3,rew,48.74585175,49.99011038,49.99011038,49.99011038,49.99011038,49.99011038,49.99011038,49.99011038,51.33103829,rew_pen,0,-0.268090696,-0.193651768,"[-0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.184, -0.174, -0.164, -0.154, -0.144, -0.134, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.134, -0.144, -0.154, -0.164, -0.174, -0.184, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194]",,,"['right', 'left']","[0.6237178749870509, 1.1124007500475273]","[0.11950079200323671, 0.12410295894369483]",return,1.331502084,,51.44849213,51.45757246,51.45757246,51.45757246,,,52.82979429,1,2,,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,8,0,8,return,1.726306583,,,,['left'],[0.6761654580477625],[0.3674015839351341],return,1.216988792,,0,0,0,0,8,0,8,0,52.96222537,,,,,,,,,52.95621346,53.83978375,55.19886792,54.82936196,-0.297512446,0.5,pen,55.19249571,56.40165504,56.40165504,56.40165504,56.40165504,56.40165504,56.40165504,56.40165504,57.63174379,pen_rew,0,-0.297512446,-0.013151709,"[-0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.023, -0.033, -0.043, -0.053, -0.063, -0.073, -0.083, -0.093, -0.103, -0.113, -0.123, -0.133, -0.143, -0.153, -0.163, -0.173, -0.183, -0.193, -0.203, -0.213, -0.223, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233, -0.233]",,,['left'],[0.6761654580477625],[0.3674015839351341],return,1.216988792,,57.74037921,57.74847221,,,,,59.12960138,1,1,57.74847221,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
1,0,9,0,9,return,1.726306583,,,,['right'],[0.4898401669925079],[0.8472444999497384],return,1.333019292,,0,0,0,0,9,0,9,0,59.24369604,,,,,,,,,59.23659904,60.13944467,61.44010983,61.12972792,0.360734969,3.8,rew,61.43388575,62.68141379,62.68141379,62.68141379,62.68141379,62.68141379,62.68141379,62.68141379,64.03049833,pen_rew,0,0.360734969,-0.348760728,"[-0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.349, -0.339, -0.329, -0.319, -0.309, -0.299, -0.289, -0.279, -0.269, -0.259, -0.249, -0.239, -0.229, -0.219, -0.209, -0.199, -0.189, -0.179, -0.169, -0.159, -0.149, -0.139, -0.129, -0.119, -0.109, -0.099, -0.089, -0.079, -0.069, -0.059, -0.049, -0.039, -0.029, -0.019, -0.009, 0.001, 0.011, 0.021, 0.031, 0.041, 0.051, 0.061, 0.071, 0.081, 0.091, 0.101, 0.111, 0.121, 0.131, 0.141, 0.151, 0.161, 0.161]",,,['right'],[0.4898401669925079],[0.8472444999497384],return,1.333019292,,64.16687654,64.17538325,64.17538325,64.17538325,,,65.52925729,1,2,,,,,,,,daria,2025-02-18_16h17.34.570,asymmetry_v8,2024.2.4,,2025-02-18 16h17.55.121932 -0500,
