thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_cross.started,no_resp_text.stopped,three_cross.stopped,feedback.stopped,correct,outcome,three_coin.started,three_coin.stopped,one_coin.started,one_coin.stopped,one_cross.started,one_cross.stopped,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,marker.stopped,slider_resp.stopped,submit_resp.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,4,2,baseline,145,2.5,0.1,1.0,0.244,flat,flat_curv,0.0,0.0,-0.1,pen,input_data/stims/Shape_2.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,['left'],[1.4059301000015694],[0.43999649999932444],up,2.229892400000608,None,0,0,0,0,0,0,0,25,6.287506799999392,,0.20594270000037795,0.21805139999923995,0.21805139999923995,0.21805139999923995,4.987700800000312,up,4.7628820000009,None,4.992557999999917,5.004166699998677,5.004166699998677,6.254405800000313,up,1.248876100000416,None,6.282151699999304,0.027735699999539065,7.315980199999103,7.316409699998985,7.337957399999141,8.336249799998768,8.319709399998828,8.320173000000068,0.00047360000098706223,9.65474439999889,9.65607110000019,9.671025699999518,9.671025699999518,9.671025699999518,9.671025699999518,9.671025699999518,9.671025699999518,9.671025699999518,11.904041699999652,"[0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.244, 0.236, 0.228, 0.22, 0.212, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036]",None,None,['left'],[1.4059301000015694],[0.43999649999932444],up,2.229892400000608,None,11.904465199999322,11.91972209999949,12.169707799999742,12.153170800000225,12.153551999999763,12.169707799999742,12.169707799999742,13.169745299999704,13.169745299999704,13.153249899998627,0,-3,,,,,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
1,1,0,4,2,baseline,123,0.3,-0.34,1.0,-0.204,curv,flat_curv,0.0,0.0,0.34,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,-1.0,-1.0,-1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,"['right', 'right']","[0.6764800000000832, 1.596417199998541]","[0.4319820000000618, 0.5040142000016203]",up,2.196476499999335,None,0,0,0,0,0,1,1,3,13.169745299999704,,,,,,,,,,,,,,,,,13.153864599998997,0.000614099999438622,14.238138999999137,14.238530499998888,14.253110100000413,15.25313180000012,15.236585799999375,15.23706940000011,0.0004948999994667247,16.721107199999096,16.722503599999982,16.736503399999492,16.736503399999492,16.736503399999492,16.736503399999492,16.736503399999492,16.736503399999492,16.736503399999492,18.93757639999967,"[-0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.252, 0.252, 0.252, 0.252, 0.252, 0.252, 0.252]",None,None,"['right', 'right']","[0.6764800000000832, 1.596417199998541]","[0.4319820000000618, 0.5040142000016203]",up,2.196476499999335,None,18.938004499999806,18.953233799998998,19.203235299999506,19.186676699999225,19.1870502999991,19.203235299999506,,20.203255099999296,,20.186741899999106,1,3,19.203235299999506,20.203255099999296,,,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
2,2,0,4,2,baseline,151,3.1,0.22,1.0,0.132,flat,flat_curv,0.0,0.0,-0.22,pen,input_data/stims/Shape_3.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,['left'],[1.1949303000001237],[0.6079200999993191],up,2.050911599999381,None,0,0,0,0,0,2,2,31,20.203255099999296,,,,,,,,,,,,,,,,,20.187339000000065,0.0005963999992673052,21.272310700000162,21.273091099999874,21.286632800000007,22.286639500000092,22.270128999998633,22.27055719999953,0.00043870000081369653,23.754837499998757,23.75616909999917,23.770052599998962,23.770052599998962,23.770052599998962,23.770052599998962,23.770052599998962,23.770052599998962,23.770052599998962,25.837762600000133,"[0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164]",None,None,['left'],[1.1949303000001237],[0.6079200999993191],up,2.050911599999381,None,25.838188199999422,25.853413699998782,26.103435199998785,26.086868499998673,26.08724760000041,26.103435199998785,,27.103470500000185,,27.08696769999915,1,1,,,26.103435199998785,27.103470500000185,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
3,3,0,4,2,baseline,132,1.3,-0.14,3.0,-0.068,curv,curv_flat,0.0,0.0,-0.14,rew,input_data/stims/Shape_1.30_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,-1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,['right'],[1.2906693000004452],[0.4880434000006062],up,1.970669700000144,None,0,0,0,0,0,3,3,12,27.103470500000185,,,,,,,,,,,,,,,,,27.087584799999604,0.0006179000010888558,27.972039500000392,27.972497799999474,27.98681740000029,28.98682589999953,28.970306100000016,28.970744399999603,0.0004504999997152481,30.355355300000156,30.356672699999763,30.370225099999516,30.370225099999516,30.370225099999516,30.370225099999516,30.370225099999516,30.370225099999516,30.370225099999516,32.35457889999998,"[-0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164]",None,None,['right'],[1.2906693000004452],[0.4880434000006062],up,1.970669700000144,None,32.354991000000155,32.3702648999988,32.620259699999224,32.60373139999865,32.604124199999205,32.620259699999224,,33.62030169999889,,33.60377879999942,0,-1,,,,,32.620259699999224,33.62030169999889,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
4,4,0,4,2,baseline,148,2.9,0.18,1.0,-0.092,flat,curv_flat,0.0,0.0,0.18,pen,input_data/stims/Shape_2.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,['right'],[1.5758887000010873],[0.447958099999596],up,2.4238588999996864,None,0,0,0,0,0,4,4,28,33.62030169999889,,,,,,,,,,,,,,,,,33.604390200000125,0.000611600000411272,34.588488600000346,34.589049299998806,34.603681399999914,35.60367729999962,35.58713659999921,35.58755799999926,0.00043059999916295055,37.021958899998936,37.023339499999565,37.03706169999896,37.03706169999896,37.03706169999896,37.03706169999896,37.03706169999896,37.03706169999896,37.03706169999896,39.47149399999944,"[-0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124]",None,None,['right'],[1.5758887000010873],[0.447958099999596],up,2.4238588999996864,None,39.471951499999705,39.48714850000033,39.73713139999927,39.72059629999967,39.72097880000001,39.73713139999927,,40.73718039999949,,40.72067659999993,1,1,,,39.73713139999927,40.73718039999949,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
5,5,0,4,2,baseline,147,2.7,0.14,3.0,-0.204,flat,flat_curv,0.0,0.0,-0.14,pen,input_data/stims/Shape_2.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,-1.0,1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,"['right', 'right']","[0.6049543999997695, 1.2209442000003037]","[0.4559845999992831, 0.3600066999988485]",up,1.684985100000631,None,0,0,0,0,0,5,5,27,40.73718039999949,,,,,,,,,,,,,,,,,40.72128580000026,0.0006088000009185635,41.6052337000001,41.605653799999345,41.620536999998876,42.62054849999913,42.604020599999785,42.60444180000013,0.0004324000001361128,43.88855159999912,43.88993019999907,43.90403179999885,43.90403179999885,43.90403179999885,43.90403179999885,43.90403179999885,43.90403179999885,43.90403179999885,45.605078599999615,"[-0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18, 0.18]",None,None,"['right', 'right']","[0.6049543999997695, 1.2209442000003037]","[0.4559845999992831, 0.3600066999988485]",up,1.684985100000631,None,45.60548839999865,45.6207488,45.87162389999867,45.85490299999947,45.855269300000145,45.87162389999867,45.87162389999867,46.871629199999006,46.871629199999006,46.854963800000405,0,-3,,,,,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
6,6,0,4,2,baseline,149,2.9,0.18,1.0,0.296,flat,flat_curv,0.0,0.0,-0.18,pen,input_data/stims/Shape_2.90_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,1.0,-1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,"['left', 'left', 'left']","[0.7846012999998493, 2.0645877000006294, 2.2806244999992487]","[0.7919799000010244, 0.1759974999986298, 0.1279610000001412]",None,,,0,0,0,0,0,6,6,29,46.871629199999006,,,,,,,,,,,,,,,,,46.85556949999955,0.0006057999999029562,47.88941369999884,47.88987499999894,47.90487079999912,48.90490409999984,48.88837349999994,48.888799799999106,0.00043710000136343297,50.17243039999994,50.173807600000146,50.1883672999993,50.1883672999993,50.1883672999993,50.1883672999993,50.1883672999993,50.1883672999993,50.1883672999993,53.173397299999124,"[0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.168, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.224]",None,None,"['left', 'left', 'left']","[0.7846012999998493, 2.0645877000006294, 2.2806244999992487]","[0.7919799000010244, 0.1759974999986298, 0.1279610000001412]",None,,,53.17382819999875,53.18845559999863,53.438408199999685,53.42188480000004,53.42906459999904,53.438408199999685,53.438408199999685,54.43846499999927,54.43846499999927,54.4218910999989,0,-3,,,,,,,53.18845559999863,53.18845559999863,53.18845559999863,53.18845559999863,53.18845559999863,53.18845559999863,53.18845559999863,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
7,7,0,4,2,baseline,140,2.1,0.02,3.0,0.148,flat,curv_flat,0.0,0.0,0.02,pen,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,1.0,1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,None,,,up,0.893803900000421,None,0,0,0,0,0,7,7,20,54.43846499999927,,,,,,,,,,,,,,,,,54.42254949999915,0.0006594000005861744,55.45651840000028,55.45692880000024,55.47186969999893,56.47188009999991,56.45517680000012,56.45560800000021,0.0004439999993337551,57.84025449999899,57.841819600000235,57.8551666000003,57.8551666000003,57.8551666000003,57.8551666000003,57.8551666000003,57.8551666000003,57.8551666000003,58.75636560000021,"[0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148, 0.148]",None,None,None,,,up,0.893803900000421,None,58.75673540000025,58.77194529999906,59.02139369999895,59.00536259999899,59.01093479999872,59.02139369999895,59.02139369999895,60.02190410000003,60.02190410000003,60.00545559999955,0,-3,,,,,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
8,8,0,4,2,baseline,126,0.7,-0.26,3.0,-0.312,curv,curv_flat,0.0,0.0,-0.26,rew,input_data/stims/Shape_0.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,1.0,-1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,['right'],[2.074327899999844],[0.45599439999932656],up,2.890325099999245,None,0,0,0,0,0,8,8,6,60.02190410000003,,,,,,,,,,,,,,,,,60.00607130000026,0.0006181000007927651,60.93983119999939,60.94063549999919,60.95522170000004,61.9552464999997,61.93874379999943,61.93916779999927,0.00043430000005173497,63.32283209999878,63.32401199999913,63.33863409999867,63.33863409999867,63.33863409999867,63.33863409999867,63.33863409999867,63.33863409999867,63.33863409999867,66.23971249999886,"[-0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.312, -0.304, -0.296, -0.288, -0.28, -0.272, -0.264, -0.256, -0.248, -0.24, -0.232, -0.224, -0.216, -0.208, -0.2, -0.192, -0.184, -0.176, -0.168, -0.16, -0.152, -0.144, -0.136, -0.128, -0.12, -0.112, -0.104, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096]",None,None,['right'],[2.074327899999844],[0.45599439999932656],up,2.890325099999245,None,66.24016649999976,66.25536029999967,66.50537409999924,66.48892929999965,66.48978019999959,66.50537409999924,,67.50539159999971,,67.48895230000016,1,3,66.50537409999924,67.50539159999971,,,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
9,9,0,4,2,baseline,144,2.5,0.1,3.0,-0.128,flat,curv_flat,0.0,0.0,0.1,pen,input_data/stims/Shape_2.50_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,1,up,4.7628820000009,None,up,1.248876100000416,None,None,None,['right'],[1.4843596999999136],[0.4319754999996803],up,2.1563905000002705,None,0,0,0,0,0,9,9,24,67.50539159999971,,,,,,,,,,,,,,,,,67.4895575999999,0.0006074000011722092,68.42497969999931,68.42538419999983,68.4388502999991,69.43884819999948,69.42234370000006,69.42277859999922,0.00044639999941864517,70.85713789999863,70.85845009999866,70.87261269999908,70.87261269999908,70.87261269999908,70.87261269999908,70.87261269999908,70.87261269999908,70.87261269999908,73.0395279000004,"[-0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.12, -0.112, -0.104, -0.096, -0.088, -0.08, -0.072, -0.064, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08]",None,None,['right'],[1.4843596999999136],[0.4319754999996803],up,2.1563905000002705,None,73.0399422999999,73.05511359999946,73.30555449999883,73.2890955999992,73.289488299999,73.30555449999883,,74.30561999999918,,74.2891510999998,1,1,,,73.30555449999883,74.30561999999918,,,,,,,,,,,,,,,,,,,202605,,D,2026-08-12_18h59.12.320,valence_final_v2,2024.2.4,60,2026-08-12 18h59.30.846082 -0600,
