boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,rep,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.25,b=0.25,0.025,1,0,0.0,0,0.07826638,0.0,0,-0.225,-0.17173361778259277
0.25,b=0.25,0.025,1,0,0.0,2,0.07826638,0.0,0,-0.225,-0.17173361778259277
0.25,b=0.25,0.025,0,0,0.0,3,0.07826638,0.0,0,-0.225,-0.17173361778259277
0.25,b=0.25,0.025,1,0,0.0,9,0.07826638,0.0,0,-0.225,-0.17173361778259277
0.25,b=0.25,0.025,0,0,0.0,0,0.07826638,0.0,0,-0.225,-0.17173361778259277
0.25,b=0.25,0.025,0,0,0.0,1,0.07826638,0.0,0,-0.225,-0.17173361778259277
0.5,b=0.50,0.025,0,0,0.0,9,0.26340497,0.0,0,-0.475,-0.2365950345993042
0.5,b=0.50,0.025,0,0,0.0,3,0.26340497,0.0,0,-0.475,-0.2365950345993042
0.5,b=0.50,0.025,0,0,0.0,8,0.26340497,0.0,0,-0.475,-0.2365950345993042
0.75,b=0.75,0.27499999999999997,0,0,0.0,9,0.57171696,0.0,0,-0.47500000000000003,-0.17828303575515747
0.75,b=0.75,0.27499999999999997,0,0,0.0,3,0.57171696,0.0,0,-0.47500000000000003,-0.17828303575515747
0.75,b=0.75,0.27499999999999997,0,0,0.0,8,0.57171696,0.0,0,-0.47500000000000003,-0.17828303575515747
0.25,b=0.25,0.075,3,1,0.0,0,0.10290103,0.0,0,-0.175,-0.14709897339344025
0.25,b=0.25,0.075,3,1,0.0,2,0.10290103,0.0,0,-0.175,-0.14709897339344025
0.25,b=0.25,0.075,2,1,0.0,3,0.10290103,0.0,0,-0.175,-0.14709897339344025
0.25,b=0.25,0.075,3,1,0.0,9,0.10290103,0.0,0,-0.175,-0.14709897339344025
0.25,b=0.25,0.075,2,1,0.0,0,0.10290103,0.0,0,-0.175,-0.14709897339344025
0.25,b=0.25,0.075,2,1,0.0,1,0.10290103,0.0,0,-0.175,-0.14709897339344025
0.5,b=0.50,0.075,1,1,0.0,9,0.2880396,0.0,0,-0.425,-0.21196040511131287
0.5,b=0.50,0.075,1,1,0.0,3,0.2880396,0.0,0,-0.425,-0.21196040511131287
0.5,b=0.50,0.075,1,1,0.0,8,0.2880396,0.0,0,-0.425,-0.21196040511131287
0.75,b=0.75,0.325,1,1,0.0,9,0.5963516,0.0,0,-0.425,-0.15364837646484375
0.75,b=0.75,0.325,1,1,0.0,3,0.5963516,0.0,0,-0.425,-0.15364837646484375
0.75,b=0.75,0.325,1,1,0.0,8,0.5963516,0.0,0,-0.425,-0.15364837646484375
0.25,b=0.25,0.125,5,2,0.0,0,0.12753578,0.0,0,-0.125,-0.12246422469615936
0.25,b=0.25,0.125,5,2,0.0,2,0.12753578,0.0,0,-0.125,-0.12246422469615936
0.25,b=0.25,0.125,4,2,0.0,3,0.12753578,0.0,0,-0.125,-0.12246422469615936
0.25,b=0.25,0.125,5,2,0.0,9,0.12753578,0.0,0,-0.125,-0.12246422469615936
0.25,b=0.25,0.125,4,2,0.0,0,0.12753578,0.0,0,-0.125,-0.12246422469615936
0.25,b=0.25,0.125,4,2,0.0,1,0.12753578,0.0,0,-0.125,-0.12246422469615936
0.5,b=0.50,0.125,2,2,0.0,9,0.31267428,0.0,0,-0.375,-0.18732571601867676
0.5,b=0.50,0.125,2,2,0.0,3,0.31267428,0.0,0,-0.375,-0.18732571601867676
0.5,b=0.50,0.125,2,2,0.0,8,0.31267428,0.0,0,-0.375,-0.18732571601867676
0.75,b=0.75,0.375,2,2,0.0,9,0.62098634,0.0,0,-0.375,-0.12901365756988525
0.75,b=0.75,0.375,2,2,0.0,3,0.62098634,0.0,0,-0.375,-0.12901365756988525
