condition,stim,boundary,cond_unique_stim_idx,class,y_pred,class_pred,net_idx,stim_aligned,resp_aligned
base,0.025000000000000022,0.5,0,0,0.07090801,-1.4078907,0,-0.475,-0.4290919899940491
base,0.075,0.5,1,0,0.11800662,-1.2634939,0,-0.425,-0.3819933831691742
base,0.12500000000000003,0.5,2,0,0.16510531,-1.119097,0,-0.375,-0.33489468693733215
base,0.17500000000000002,0.5,3,0,0.2122039,-0.9747002,0,-0.32499999999999996,-0.28779609501361847
base,0.225,0.5,4,0,0.2593026,-0.8303033,0,-0.275,-0.24069741368293762
base,0.275,0.5,5,0,0.30640122,-0.6859065,0,-0.22499999999999998,-0.19359877705574036
base,0.325,0.5,6,0,0.35349983,-0.5415098,0,-0.175,-0.14650017023086548
base,0.37500000000000006,0.5,7,0,0.40059853,-0.39711297,0,-0.12499999999999994,-0.09940147399902344
base,0.425,0.5,8,0,0.44769716,-0.25271606,0,-0.07500000000000001,-0.05230283737182617
base,0.475,0.5,9,0,0.49479574,-0.10831943,0,-0.025000000000000022,-0.005204260349273682
base,0.525,0.5,10,1,0.54189444,0.03607735,0,0.025000000000000022,0.04189443588256836
base,0.575,0.5,11,1,0.5889931,0.18047415,0,0.07499999999999996,0.08899307250976562
base,0.625,0.5,12,1,0.6360917,0.32487112,0,0.125,0.1360917091369629
base,0.675,0.5,13,1,0.68319035,0.46926796,0,0.17500000000000004,0.18319034576416016
base,0.7250000000000001,0.5,14,1,0.73028904,0.61366487,0,0.2250000000000001,0.2302890419960022
base,0.7749999999999999,0.5,15,1,0.77738774,0.7580615,0,0.2749999999999999,0.27738773822784424
base,0.825,0.5,16,1,0.82448626,0.9024583,0,0.32499999999999996,0.32448625564575195
base,0.8749999999999999,0.5,17,1,0.871585,1.0468551,0,0.3749999999999999,0.37158501148223877
base,0.9249999999999999,0.5,18,1,0.9181961,1.1776513,0,0.42499999999999993,0.41819608211517334
base,0.975,0.5,19,1,0.9388963,1.2530618,0,0.475,0.4388962984085083
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
curv,0.075,0.25,1,0,0.01865688,-1.2246633,0,-0.175,-0.2313431203365326
curv,0.075,0.25,1,0,0.01865688,-1.2246633,0,-0.175,-0.2313431203365326
curv,0.12500000000000003,0.25,2,0,0.06575552,-1.0802665,0,-0.12499999999999997,-0.18424448370933533
curv,0.12500000000000003,0.25,2,0,0.06575552,-1.0802665,0,-0.12499999999999997,-0.18424448370933533
curv,0.17500000000000002,0.25,3,0,0.1128542,-0.9358697,0,-0.07499999999999998,-0.13714580237865448
curv,0.17500000000000002,0.25,3,0,0.1128542,-0.9358697,0,-0.07499999999999998,-0.13714580237865448
curv,0.225,0.25,4,0,0.15995277,-0.791473,0,-0.024999999999999994,-0.09004722535610199
curv,0.225,0.25,4,0,0.15995277,-0.791473,0,-0.024999999999999994,-0.09004722535610199
curv,0.275,0.25,5,1,0.20705149,-0.6470761,0,0.025000000000000022,-0.042948514223098755
curv,0.325,0.25,6,1,0.2541501,-0.5026793,0,0.07500000000000001,0.004150092601776123
curv,0.37500000000000006,0.25,7,1,0.30124873,-0.35828245,0,0.12500000000000006,0.05124872922897339
curv,0.425,0.25,8,1,0.34834743,-0.21388559,0,0.175,0.09834742546081543
curv,0.475,0.25,9,1,0.39544603,-0.06948884,0,0.22499999999999998,0.1454460322856903
curv,0.525,0.25,10,1,0.44254467,0.0749079,0,0.275,0.19254466891288757
curv,0.575,0.25,11,1,0.48964334,0.21930473,0,0.32499999999999996,0.23964333534240723
curv,0.625,0.25,12,1,0.536742,0.36370158,0,0.375,0.2867419719696045
curv,0.675,0.25,13,1,0.5838406,0.5080985,0,0.42500000000000004,0.33384060859680176
curv,0.7250000000000001,0.25,14,1,0.6309393,0.6524953,0,0.4750000000000001,0.3809393048286438
flat,0.275,0.7500000000000001,0,0,0.40575105,-0.72473705,0,-0.4750000000000001,-0.3442489504814149
flat,0.325,0.7500000000000001,1,0,0.4528496,-0.5803403,0,-0.4250000000000001,-0.2971504032611848
flat,0.37500000000000006,0.7500000000000001,2,0,0.49994826,-0.43594348,0,-0.37500000000000006,-0.25005173683166515
flat,0.425,0.7500000000000001,3,0,0.54704696,-0.29154664,0,-0.3250000000000001,-0.2029530405998231
flat,0.475,0.7500000000000001,4,0,0.5941456,-0.14714988,0,-0.27500000000000013,-0.15585440397262584
flat,0.525,0.7500000000000001,5,0,0.6412442,-0.0027531385,0,-0.2250000000000001,-0.10875582695007335
flat,0.575,0.7500000000000001,6,0,0.6883429,0.14164375,0,-0.17500000000000016,-0.06165707111358654
flat,0.625,0.7500000000000001,7,0,0.7354415,0.2860406,0,-0.1250000000000001,-0.014558494091034047
flat,0.675,0.7500000000000001,8,0,0.7825402,0.4304375,0,-0.07500000000000007,0.032540202140807994
flat,0.7250000000000001,0.7500000000000001,9,0,0.82963884,0.57483435,0,-0.025000000000000022,0.07963883876800526
flat,0.7749999999999999,0.7500000000000001,10,1,0.8767375,0.719231,0,0.0249999999999998,0.12673747539520253
flat,0.7749999999999999,0.7500000000000001,10,1,0.8767375,0.719231,0,0.0249999999999998,0.12673747539520253
flat,0.825,0.7500000000000001,11,1,0.9238361,0.8636278,0,0.07499999999999984,0.1738361120223998
flat,0.825,0.7500000000000001,11,1,0.9238361,0.8636278,0,0.07499999999999984,0.1738361120223998
flat,0.8749999999999999,0.7500000000000001,12,1,0.9707099,1.0017537,0,0.12499999999999978,0.22070991992950428
flat,0.8749999999999999,0.7500000000000001,12,1,0.9707099,1.0017537,0,0.12499999999999978,0.22070991992950428
flat,0.9249999999999999,0.7500000000000001,13,1,1.0010977,1.0951399,0,0.17499999999999982,0.2510976791381835
flat,0.9249999999999999,0.7500000000000001,13,1,1.0010977,1.0951399,0,0.17499999999999982,0.2510976791381835
flat,0.975,0.7500000000000001,14,1,1.0110269,1.1542085,0,0.22499999999999987,0.26102685928344715
flat,0.975,0.7500000000000001,14,1,1.0110269,1.1542085,0,0.22499999999999987,0.26102685928344715
base,0.025000000000000022,0.5,0,0,0.07090801,-1.4078907,0,-0.475,-0.4290919899940491
base,0.075,0.5,1,0,0.11800662,-1.2634939,0,-0.425,-0.3819933831691742
base,0.12500000000000003,0.5,2,0,0.16510531,-1.119097,0,-0.375,-0.33489468693733215
base,0.17500000000000002,0.5,3,0,0.2122039,-0.9747002,0,-0.32499999999999996,-0.28779609501361847
base,0.225,0.5,4,0,0.2593026,-0.8303033,0,-0.275,-0.24069741368293762
base,0.275,0.5,5,0,0.30640122,-0.6859065,0,-0.22499999999999998,-0.19359877705574036
base,0.325,0.5,6,0,0.35349983,-0.5415098,0,-0.175,-0.14650017023086548
base,0.37500000000000006,0.5,7,0,0.40059853,-0.39711297,0,-0.12499999999999994,-0.09940147399902344
base,0.425,0.5,8,0,0.44769716,-0.25271606,0,-0.07500000000000001,-0.05230283737182617
base,0.475,0.5,9,0,0.49479574,-0.10831943,0,-0.025000000000000022,-0.005204260349273682
base,0.525,0.5,10,1,0.54189444,0.03607735,0,0.025000000000000022,0.04189443588256836
base,0.575,0.5,11,1,0.5889931,0.18047415,0,0.07499999999999996,0.08899307250976562
base,0.625,0.5,12,1,0.6360917,0.32487112,0,0.125,0.1360917091369629
base,0.675,0.5,13,1,0.68319035,0.46926796,0,0.17500000000000004,0.18319034576416016
base,0.7250000000000001,0.5,14,1,0.73028904,0.61366487,0,0.2250000000000001,0.2302890419960022
base,0.7749999999999999,0.5,15,1,0.77738774,0.7580615,0,0.2749999999999999,0.27738773822784424
base,0.825,0.5,16,1,0.82448626,0.9024583,0,0.32499999999999996,0.32448625564575195
base,0.8749999999999999,0.5,17,1,0.871585,1.0468551,0,0.3749999999999999,0.37158501148223877
base,0.9249999999999999,0.5,18,1,0.9181961,1.1776513,0,0.42499999999999993,0.41819608211517334
base,0.975,0.5,19,1,0.9388963,1.2530618,0,0.475,0.4388962984085083
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
curv,0.075,0.25,1,0,0.01865688,-1.2246633,0,-0.175,-0.2313431203365326
curv,0.075,0.25,1,0,0.01865688,-1.2246633,0,-0.175,-0.2313431203365326
curv,0.12500000000000003,0.25,2,0,0.06575552,-1.0802665,0,-0.12499999999999997,-0.18424448370933533
curv,0.12500000000000003,0.25,2,0,0.06575552,-1.0802665,0,-0.12499999999999997,-0.18424448370933533
curv,0.17500000000000002,0.25,3,0,0.1128542,-0.9358697,0,-0.07499999999999998,-0.13714580237865448
curv,0.17500000000000002,0.25,3,0,0.1128542,-0.9358697,0,-0.07499999999999998,-0.13714580237865448
curv,0.225,0.25,4,0,0.15995277,-0.791473,0,-0.024999999999999994,-0.09004722535610199
curv,0.225,0.25,4,0,0.15995277,-0.791473,0,-0.024999999999999994,-0.09004722535610199
curv,0.275,0.25,5,1,0.20705149,-0.6470761,0,0.025000000000000022,-0.042948514223098755
curv,0.325,0.25,6,1,0.2541501,-0.5026793,0,0.07500000000000001,0.004150092601776123
curv,0.37500000000000006,0.25,7,1,0.30124873,-0.35828245,0,0.12500000000000006,0.05124872922897339
curv,0.425,0.25,8,1,0.34834743,-0.21388559,0,0.175,0.09834742546081543
curv,0.475,0.25,9,1,0.39544603,-0.06948884,0,0.22499999999999998,0.1454460322856903
curv,0.525,0.25,10,1,0.44254467,0.0749079,0,0.275,0.19254466891288757
curv,0.575,0.25,11,1,0.48964334,0.21930473,0,0.32499999999999996,0.23964333534240723
curv,0.625,0.25,12,1,0.536742,0.36370158,0,0.375,0.2867419719696045
curv,0.675,0.25,13,1,0.5838406,0.5080985,0,0.42500000000000004,0.33384060859680176
curv,0.7250000000000001,0.25,14,1,0.6309393,0.6524953,0,0.4750000000000001,0.3809393048286438
flat,0.275,0.7500000000000001,0,0,0.40575105,-0.72473705,0,-0.4750000000000001,-0.3442489504814149
flat,0.325,0.7500000000000001,1,0,0.4528496,-0.5803403,0,-0.4250000000000001,-0.2971504032611848
flat,0.37500000000000006,0.7500000000000001,2,0,0.49994826,-0.43594348,0,-0.37500000000000006,-0.25005173683166515
flat,0.425,0.7500000000000001,3,0,0.54704696,-0.29154664,0,-0.3250000000000001,-0.2029530405998231
flat,0.475,0.7500000000000001,4,0,0.5941456,-0.14714988,0,-0.27500000000000013,-0.15585440397262584
flat,0.525,0.7500000000000001,5,0,0.6412442,-0.0027531385,0,-0.2250000000000001,-0.10875582695007335
flat,0.575,0.7500000000000001,6,0,0.6883429,0.14164375,0,-0.17500000000000016,-0.06165707111358654
flat,0.625,0.7500000000000001,7,0,0.7354415,0.2860406,0,-0.1250000000000001,-0.014558494091034047
flat,0.675,0.7500000000000001,8,0,0.7825402,0.4304375,0,-0.07500000000000007,0.032540202140807994
flat,0.7250000000000001,0.7500000000000001,9,0,0.82963884,0.57483435,0,-0.025000000000000022,0.07963883876800526
flat,0.7749999999999999,0.7500000000000001,10,1,0.8767375,0.719231,0,0.0249999999999998,0.12673747539520253
flat,0.7749999999999999,0.7500000000000001,10,1,0.8767375,0.719231,0,0.0249999999999998,0.12673747539520253
flat,0.825,0.7500000000000001,11,1,0.9238361,0.8636278,0,0.07499999999999984,0.1738361120223998
flat,0.825,0.7500000000000001,11,1,0.9238361,0.8636278,0,0.07499999999999984,0.1738361120223998
flat,0.8749999999999999,0.7500000000000001,12,1,0.9707099,1.0017537,0,0.12499999999999978,0.22070991992950428
flat,0.8749999999999999,0.7500000000000001,12,1,0.9707099,1.0017537,0,0.12499999999999978,0.22070991992950428
flat,0.9249999999999999,0.7500000000000001,13,1,1.0010977,1.0951399,0,0.17499999999999982,0.2510976791381835
flat,0.9249999999999999,0.7500000000000001,13,1,1.0010977,1.0951399,0,0.17499999999999982,0.2510976791381835
flat,0.975,0.7500000000000001,14,1,1.0110269,1.1542085,0,0.22499999999999987,0.26102685928344715
flat,0.975,0.7500000000000001,14,1,1.0110269,1.1542085,0,0.22499999999999987,0.26102685928344715
base,0.025000000000000022,0.5,0,0,0.07090801,-1.4078907,0,-0.475,-0.4290919899940491
base,0.075,0.5,1,0,0.11800662,-1.2634939,0,-0.425,-0.3819933831691742
base,0.12500000000000003,0.5,2,0,0.16510531,-1.119097,0,-0.375,-0.33489468693733215
base,0.17500000000000002,0.5,3,0,0.2122039,-0.9747002,0,-0.32499999999999996,-0.28779609501361847
base,0.225,0.5,4,0,0.2593026,-0.8303033,0,-0.275,-0.24069741368293762
base,0.275,0.5,5,0,0.30640122,-0.6859065,0,-0.22499999999999998,-0.19359877705574036
base,0.325,0.5,6,0,0.35349983,-0.5415098,0,-0.175,-0.14650017023086548
base,0.37500000000000006,0.5,7,0,0.40059853,-0.39711297,0,-0.12499999999999994,-0.09940147399902344
base,0.425,0.5,8,0,0.44769716,-0.25271606,0,-0.07500000000000001,-0.05230283737182617
base,0.475,0.5,9,0,0.49479574,-0.10831943,0,-0.025000000000000022,-0.005204260349273682
base,0.525,0.5,10,1,0.54189444,0.03607735,0,0.025000000000000022,0.04189443588256836
base,0.575,0.5,11,1,0.5889931,0.18047415,0,0.07499999999999996,0.08899307250976562
base,0.625,0.5,12,1,0.6360917,0.32487112,0,0.125,0.1360917091369629
base,0.675,0.5,13,1,0.68319035,0.46926796,0,0.17500000000000004,0.18319034576416016
base,0.7250000000000001,0.5,14,1,0.73028904,0.61366487,0,0.2250000000000001,0.2302890419960022
base,0.7749999999999999,0.5,15,1,0.77738774,0.7580615,0,0.2749999999999999,0.27738773822784424
base,0.825,0.5,16,1,0.82448626,0.9024583,0,0.32499999999999996,0.32448625564575195
base,0.8749999999999999,0.5,17,1,0.871585,1.0468551,0,0.3749999999999999,0.37158501148223877
base,0.9249999999999999,0.5,18,1,0.9181961,1.1776513,0,0.42499999999999993,0.41819608211517334
base,0.975,0.5,19,1,0.9388963,1.2530618,0,0.475,0.4388962984085083
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
curv,0.075,0.25,1,0,0.01865688,-1.2246633,0,-0.175,-0.2313431203365326
curv,0.075,0.25,1,0,0.01865688,-1.2246633,0,-0.175,-0.2313431203365326
curv,0.12500000000000003,0.25,2,0,0.06575552,-1.0802665,0,-0.12499999999999997,-0.18424448370933533
curv,0.12500000000000003,0.25,2,0,0.06575552,-1.0802665,0,-0.12499999999999997,-0.18424448370933533
curv,0.17500000000000002,0.25,3,0,0.1128542,-0.9358697,0,-0.07499999999999998,-0.13714580237865448
curv,0.17500000000000002,0.25,3,0,0.1128542,-0.9358697,0,-0.07499999999999998,-0.13714580237865448
curv,0.225,0.25,4,0,0.15995277,-0.791473,0,-0.024999999999999994,-0.09004722535610199
curv,0.225,0.25,4,0,0.15995277,-0.791473,0,-0.024999999999999994,-0.09004722535610199
curv,0.275,0.25,5,1,0.20705149,-0.6470761,0,0.025000000000000022,-0.042948514223098755
curv,0.325,0.25,6,1,0.2541501,-0.5026793,0,0.07500000000000001,0.004150092601776123
curv,0.37500000000000006,0.25,7,1,0.30124873,-0.35828245,0,0.12500000000000006,0.05124872922897339
curv,0.425,0.25,8,1,0.34834743,-0.21388559,0,0.175,0.09834742546081543
curv,0.475,0.25,9,1,0.39544603,-0.06948884,0,0.22499999999999998,0.1454460322856903
curv,0.525,0.25,10,1,0.44254467,0.0749079,0,0.275,0.19254466891288757
curv,0.575,0.25,11,1,0.48964334,0.21930473,0,0.32499999999999996,0.23964333534240723
curv,0.625,0.25,12,1,0.536742,0.36370158,0,0.375,0.2867419719696045
curv,0.675,0.25,13,1,0.5838406,0.5080985,0,0.42500000000000004,0.33384060859680176
curv,0.7250000000000001,0.25,14,1,0.6309393,0.6524953,0,0.4750000000000001,0.3809393048286438
flat,0.275,0.7500000000000001,0,0,0.40575105,-0.72473705,0,-0.4750000000000001,-0.3442489504814149
flat,0.325,0.7500000000000001,1,0,0.4528496,-0.5803403,0,-0.4250000000000001,-0.2971504032611848
flat,0.37500000000000006,0.7500000000000001,2,0,0.49994826,-0.43594348,0,-0.37500000000000006,-0.25005173683166515
flat,0.425,0.7500000000000001,3,0,0.54704696,-0.29154664,0,-0.3250000000000001,-0.2029530405998231
flat,0.475,0.7500000000000001,4,0,0.5941456,-0.14714988,0,-0.27500000000000013,-0.15585440397262584
flat,0.525,0.7500000000000001,5,0,0.6412442,-0.0027531385,0,-0.2250000000000001,-0.10875582695007335
flat,0.575,0.7500000000000001,6,0,0.6883429,0.14164375,0,-0.17500000000000016,-0.06165707111358654
flat,0.625,0.7500000000000001,7,0,0.7354415,0.2860406,0,-0.1250000000000001,-0.014558494091034047
flat,0.675,0.7500000000000001,8,0,0.7825402,0.4304375,0,-0.07500000000000007,0.032540202140807994
flat,0.7250000000000001,0.7500000000000001,9,0,0.82963884,0.57483435,0,-0.025000000000000022,0.07963883876800526
flat,0.7749999999999999,0.7500000000000001,10,1,0.8767375,0.719231,0,0.0249999999999998,0.12673747539520253
flat,0.7749999999999999,0.7500000000000001,10,1,0.8767375,0.719231,0,0.0249999999999998,0.12673747539520253
flat,0.825,0.7500000000000001,11,1,0.9238361,0.8636278,0,0.07499999999999984,0.1738361120223998
flat,0.825,0.7500000000000001,11,1,0.9238361,0.8636278,0,0.07499999999999984,0.1738361120223998
flat,0.8749999999999999,0.7500000000000001,12,1,0.9707099,1.0017537,0,0.12499999999999978,0.22070991992950428
flat,0.8749999999999999,0.7500000000000001,12,1,0.9707099,1.0017537,0,0.12499999999999978,0.22070991992950428
flat,0.9249999999999999,0.7500000000000001,13,1,1.0010977,1.0951399,0,0.17499999999999982,0.2510976791381835
flat,0.9249999999999999,0.7500000000000001,13,1,1.0010977,1.0951399,0,0.17499999999999982,0.2510976791381835
flat,0.975,0.7500000000000001,14,1,1.0110269,1.1542085,0,0.22499999999999987,0.26102685928344715
flat,0.975,0.7500000000000001,14,1,1.0110269,1.1542085,0,0.22499999999999987,0.26102685928344715
base,0.025000000000000022,0.5,0,0,0.07090801,-1.4078907,0,-0.475,-0.4290919899940491
base,0.075,0.5,1,0,0.11800662,-1.2634939,0,-0.425,-0.3819933831691742
base,0.12500000000000003,0.5,2,0,0.16510531,-1.119097,0,-0.375,-0.33489468693733215
base,0.17500000000000002,0.5,3,0,0.2122039,-0.9747002,0,-0.32499999999999996,-0.28779609501361847
base,0.225,0.5,4,0,0.2593026,-0.8303033,0,-0.275,-0.24069741368293762
base,0.275,0.5,5,0,0.30640122,-0.6859065,0,-0.22499999999999998,-0.19359877705574036
base,0.325,0.5,6,0,0.35349983,-0.5415098,0,-0.175,-0.14650017023086548
base,0.37500000000000006,0.5,7,0,0.40059853,-0.39711297,0,-0.12499999999999994,-0.09940147399902344
base,0.425,0.5,8,0,0.44769716,-0.25271606,0,-0.07500000000000001,-0.05230283737182617
base,0.475,0.5,9,0,0.49479574,-0.10831943,0,-0.025000000000000022,-0.005204260349273682
base,0.525,0.5,10,1,0.54189444,0.03607735,0,0.025000000000000022,0.04189443588256836
base,0.575,0.5,11,1,0.5889931,0.18047415,0,0.07499999999999996,0.08899307250976562
base,0.625,0.5,12,1,0.6360917,0.32487112,0,0.125,0.1360917091369629
base,0.675,0.5,13,1,0.68319035,0.46926796,0,0.17500000000000004,0.18319034576416016
base,0.7250000000000001,0.5,14,1,0.73028904,0.61366487,0,0.2250000000000001,0.2302890419960022
base,0.7749999999999999,0.5,15,1,0.77738774,0.7580615,0,0.2749999999999999,0.27738773822784424
base,0.825,0.5,16,1,0.82448626,0.9024583,0,0.32499999999999996,0.32448625564575195
base,0.8749999999999999,0.5,17,1,0.871585,1.0468551,0,0.3749999999999999,0.37158501148223877
base,0.9249999999999999,0.5,18,1,0.9181961,1.1776513,0,0.42499999999999993,0.41819608211517334
base,0.975,0.5,19,1,0.9388963,1.2530618,0,0.475,0.4388962984085083
curv,0.025000000000000022,0.25,0,0,-0.028441787,-1.36906,0,-0.22499999999999998,-0.27844178676605225
