condition,stim,boundary,cond_unique_stim_idx,class
base,0.025000000000000022,0.5,0,0
base,0.075,0.5,1,0
base,0.12500000000000003,0.5,2,0
base,0.17500000000000002,0.5,3,0
base,0.225,0.5,4,0
base,0.275,0.5,5,0
base,0.325,0.5,6,0
base,0.37500000000000006,0.5,7,0
base,0.425,0.5,8,0
base,0.475,0.5,9,0
base,0.525,0.5,10,1
base,0.575,0.5,11,1
base,0.625,0.5,12,1
base,0.675,0.5,13,1
base,0.7250000000000001,0.5,14,1
base,0.7749999999999999,0.5,15,1
base,0.825,0.5,16,1
base,0.8749999999999999,0.5,17,1
base,0.9249999999999999,0.5,18,1
base,0.975,0.5,19,1
curv,0.025000000000000022,0.25,0,0
curv,0.025000000000000022,0.25,0,0
curv,0.075,0.25,1,0
curv,0.075,0.25,1,0
curv,0.12500000000000003,0.25,2,0
curv,0.12500000000000003,0.25,2,0
curv,0.17500000000000002,0.25,3,0
curv,0.17500000000000002,0.25,3,0
curv,0.225,0.25,4,0
curv,0.225,0.25,4,0
curv,0.275,0.25,5,1
curv,0.325,0.25,6,1
curv,0.37500000000000006,0.25,7,1
curv,0.425,0.25,8,1
curv,0.475,0.25,9,1
curv,0.525,0.25,10,1
curv,0.575,0.25,11,1
curv,0.625,0.25,12,1
curv,0.675,0.25,13,1
curv,0.7250000000000001,0.25,14,1
flat,0.275,0.7500000000000001,0,0
flat,0.325,0.7500000000000001,1,0
flat,0.37500000000000006,0.7500000000000001,2,0
flat,0.425,0.7500000000000001,3,0
flat,0.475,0.7500000000000001,4,0
flat,0.525,0.7500000000000001,5,0
flat,0.575,0.7500000000000001,6,0
flat,0.625,0.7500000000000001,7,0
flat,0.675,0.7500000000000001,8,0
flat,0.7250000000000001,0.7500000000000001,9,0
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.825,0.7500000000000001,11,1
flat,0.825,0.7500000000000001,11,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.975,0.7500000000000001,14,1
flat,0.975,0.7500000000000001,14,1
base,0.025000000000000022,0.5,0,0
base,0.075,0.5,1,0
base,0.12500000000000003,0.5,2,0
base,0.17500000000000002,0.5,3,0
base,0.225,0.5,4,0
base,0.275,0.5,5,0
base,0.325,0.5,6,0
base,0.37500000000000006,0.5,7,0
base,0.425,0.5,8,0
base,0.475,0.5,9,0
base,0.525,0.5,10,1
base,0.575,0.5,11,1
base,0.625,0.5,12,1
base,0.675,0.5,13,1
base,0.7250000000000001,0.5,14,1
base,0.7749999999999999,0.5,15,1
base,0.825,0.5,16,1
base,0.8749999999999999,0.5,17,1
base,0.9249999999999999,0.5,18,1
base,0.975,0.5,19,1
curv,0.025000000000000022,0.25,0,0
curv,0.025000000000000022,0.25,0,0
curv,0.075,0.25,1,0
curv,0.075,0.25,1,0
curv,0.12500000000000003,0.25,2,0
curv,0.12500000000000003,0.25,2,0
curv,0.17500000000000002,0.25,3,0
curv,0.17500000000000002,0.25,3,0
curv,0.225,0.25,4,0
curv,0.225,0.25,4,0
curv,0.275,0.25,5,1
curv,0.325,0.25,6,1
curv,0.37500000000000006,0.25,7,1
curv,0.425,0.25,8,1
curv,0.475,0.25,9,1
curv,0.525,0.25,10,1
curv,0.575,0.25,11,1
curv,0.625,0.25,12,1
curv,0.675,0.25,13,1
curv,0.7250000000000001,0.25,14,1
flat,0.275,0.7500000000000001,0,0
flat,0.325,0.7500000000000001,1,0
flat,0.37500000000000006,0.7500000000000001,2,0
flat,0.425,0.7500000000000001,3,0
flat,0.475,0.7500000000000001,4,0
flat,0.525,0.7500000000000001,5,0
flat,0.575,0.7500000000000001,6,0
flat,0.625,0.7500000000000001,7,0
flat,0.675,0.7500000000000001,8,0
flat,0.7250000000000001,0.7500000000000001,9,0
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.825,0.7500000000000001,11,1
flat,0.825,0.7500000000000001,11,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.975,0.7500000000000001,14,1
flat,0.975,0.7500000000000001,14,1
base,0.025000000000000022,0.5,0,0
base,0.075,0.5,1,0
base,0.12500000000000003,0.5,2,0
base,0.17500000000000002,0.5,3,0
base,0.225,0.5,4,0
base,0.275,0.5,5,0
base,0.325,0.5,6,0
base,0.37500000000000006,0.5,7,0
base,0.425,0.5,8,0
base,0.475,0.5,9,0
base,0.525,0.5,10,1
base,0.575,0.5,11,1
base,0.625,0.5,12,1
base,0.675,0.5,13,1
base,0.7250000000000001,0.5,14,1
base,0.7749999999999999,0.5,15,1
base,0.825,0.5,16,1
base,0.8749999999999999,0.5,17,1
base,0.9249999999999999,0.5,18,1
base,0.975,0.5,19,1
curv,0.025000000000000022,0.25,0,0
curv,0.025000000000000022,0.25,0,0
curv,0.075,0.25,1,0
curv,0.075,0.25,1,0
curv,0.12500000000000003,0.25,2,0
curv,0.12500000000000003,0.25,2,0
curv,0.17500000000000002,0.25,3,0
curv,0.17500000000000002,0.25,3,0
curv,0.225,0.25,4,0
curv,0.225,0.25,4,0
curv,0.275,0.25,5,1
curv,0.325,0.25,6,1
curv,0.37500000000000006,0.25,7,1
curv,0.425,0.25,8,1
curv,0.475,0.25,9,1
curv,0.525,0.25,10,1
curv,0.575,0.25,11,1
curv,0.625,0.25,12,1
curv,0.675,0.25,13,1
curv,0.7250000000000001,0.25,14,1
flat,0.275,0.7500000000000001,0,0
flat,0.325,0.7500000000000001,1,0
flat,0.37500000000000006,0.7500000000000001,2,0
flat,0.425,0.7500000000000001,3,0
flat,0.475,0.7500000000000001,4,0
flat,0.525,0.7500000000000001,5,0
flat,0.575,0.7500000000000001,6,0
flat,0.625,0.7500000000000001,7,0
flat,0.675,0.7500000000000001,8,0
flat,0.7250000000000001,0.7500000000000001,9,0
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.825,0.7500000000000001,11,1
flat,0.825,0.7500000000000001,11,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.975,0.7500000000000001,14,1
flat,0.975,0.7500000000000001,14,1
base,0.025000000000000022,0.5,0,0
base,0.075,0.5,1,0
base,0.12500000000000003,0.5,2,0
base,0.17500000000000002,0.5,3,0
base,0.225,0.5,4,0
base,0.275,0.5,5,0
base,0.325,0.5,6,0
base,0.37500000000000006,0.5,7,0
base,0.425,0.5,8,0
base,0.475,0.5,9,0
base,0.525,0.5,10,1
base,0.575,0.5,11,1
base,0.625,0.5,12,1
base,0.675,0.5,13,1
base,0.7250000000000001,0.5,14,1
base,0.7749999999999999,0.5,15,1
base,0.825,0.5,16,1
base,0.8749999999999999,0.5,17,1
base,0.9249999999999999,0.5,18,1
base,0.975,0.5,19,1
curv,0.025000000000000022,0.25,0,0
curv,0.025000000000000022,0.25,0,0
curv,0.075,0.25,1,0
curv,0.075,0.25,1,0
curv,0.12500000000000003,0.25,2,0
curv,0.12500000000000003,0.25,2,0
curv,0.17500000000000002,0.25,3,0
curv,0.17500000000000002,0.25,3,0
curv,0.225,0.25,4,0
curv,0.225,0.25,4,0
curv,0.275,0.25,5,1
curv,0.325,0.25,6,1
curv,0.37500000000000006,0.25,7,1
curv,0.425,0.25,8,1
curv,0.475,0.25,9,1
curv,0.525,0.25,10,1
curv,0.575,0.25,11,1
curv,0.625,0.25,12,1
curv,0.675,0.25,13,1
curv,0.7250000000000001,0.25,14,1
flat,0.275,0.7500000000000001,0,0
flat,0.325,0.7500000000000001,1,0
flat,0.37500000000000006,0.7500000000000001,2,0
flat,0.425,0.7500000000000001,3,0
flat,0.475,0.7500000000000001,4,0
flat,0.525,0.7500000000000001,5,0
flat,0.575,0.7500000000000001,6,0
flat,0.625,0.7500000000000001,7,0
flat,0.675,0.7500000000000001,8,0
flat,0.7250000000000001,0.7500000000000001,9,0
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.7749999999999999,0.7500000000000001,10,1
flat,0.825,0.7500000000000001,11,1
flat,0.825,0.7500000000000001,11,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.8749999999999999,0.7500000000000001,12,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.9249999999999999,0.7500000000000001,13,1
flat,0.975,0.7500000000000001,14,1
flat,0.975,0.7500000000000001,14,1
