condition,stim,boundary,cond_unique_stim_idx,class,y_pred,class_pred,net_idx,stim_aligned,resp_aligned
base,0.025000000000000022,0.5,0,0,0.20785479,-0.69943106,0,-0.475,-0.2921452075242996
base,0.075,0.5,1,0,0.2403309,-0.63481265,0,-0.425,-0.25966909527778625
base,0.12500000000000003,0.5,2,0,0.271536,-0.5533864,0,-0.375,-0.2284640073776245
base,0.17500000000000002,0.5,3,0,0.3026744,-0.4710786,0,-0.32499999999999996,-0.19732558727264404
base,0.225,0.5,4,0,0.3338129,-0.3887709,0,-0.275,-0.1661871075630188
base,0.275,0.5,5,0,0.3649513,-0.3064632,0,-0.22499999999999998,-0.13504868745803833
base,0.325,0.5,6,0,0.39608976,-0.22415543,0,-0.175,-0.10391023755073547
base,0.37500000000000006,0.5,7,0,0.42722818,-0.14184771,0,-0.12499999999999994,-0.072771817445755
base,0.425,0.5,8,0,0.45836663,-0.059539974,0,-0.07500000000000001,-0.04163336753845215
base,0.475,0.5,9,0,0.48950505,0.022767745,0,-0.025000000000000022,-0.01049494743347168
base,0.525,0.5,10,1,0.5206435,0.10507547,0,0.025000000000000022,0.02064347267150879
base,0.575,0.5,11,1,0.5514503,0.18472573,0,0.07499999999999996,0.05145031213760376
base,0.625,0.5,12,1,0.5799997,0.24628478,0,0.125,0.07999968528747559
base,0.675,0.5,13,1,0.608549,0.30784383,0,0.17500000000000004,0.10854899883270264
base,0.7250000000000001,0.5,14,1,0.6370983,0.3694029,0,0.2250000000000001,0.1370983123779297
base,0.7749999999999999,0.5,15,1,0.66564775,0.43096194,0,0.2749999999999999,0.1656477451324463
base,0.825,0.5,16,1,0.69419694,0.4925209,0,0.32499999999999996,0.1941969394683838
base,0.8749999999999999,0.5,17,1,0.7227463,0.55407995,0,0.3749999999999999,0.22274631261825562
base,0.9249999999999999,0.5,18,1,0.7512957,0.61563903,0,0.42499999999999993,0.25129568576812744
base,0.975,0.5,19,1,0.7716208,0.66469365,0,0.475,0.27162081003189087
curv,0.025000000000000022,0.25,0,0,0.040042028,-0.8298351,0,-0.22499999999999998,-0.20995797216892242
curv,0.025000000000000022,0.25,0,0,0.040042028,-0.8298351,0,-0.22499999999999998,-0.20995797216892242
curv,0.075,0.25,1,0,0.07118042,-0.74752736,0,-0.175,-0.17881958186626434
curv,0.075,0.25,1,0,0.07118042,-0.74752736,0,-0.175,-0.17881958186626434
curv,0.12500000000000003,0.25,2,0,0.10231882,-0.6652196,0,-0.12499999999999997,-0.14768117666244507
curv,0.12500000000000003,0.25,2,0,0.10231882,-0.6652196,0,-0.12499999999999997,-0.14768117666244507
curv,0.17500000000000002,0.25,3,0,0.13345733,-0.58291185,0,-0.07499999999999998,-0.11654266715049744
curv,0.17500000000000002,0.25,3,0,0.13345733,-0.58291185,0,-0.07499999999999998,-0.11654266715049744
curv,0.225,0.25,4,0,0.16459574,-0.5006042,0,-0.024999999999999994,-0.08540426194667816
curv,0.225,0.25,4,0,0.16459574,-0.5006042,0,-0.024999999999999994,-0.08540426194667816
curv,0.275,0.25,5,1,0.19573416,-0.41829643,0,0.025000000000000022,-0.05426584184169769
curv,0.325,0.25,6,1,0.2268726,-0.33598876,0,0.07500000000000001,-0.02312740683555603
curv,0.37500000000000006,0.25,7,1,0.25801107,-0.25368094,0,0.12500000000000006,0.008011072874069214
curv,0.425,0.25,8,1,0.28914952,-0.17137319,0,0.175,0.03914952278137207
curv,0.475,0.25,9,1,0.32028794,-0.089065485,0,0.22499999999999998,0.07028794288635254
curv,0.525,0.25,10,1,0.3514264,-0.006757796,0,0.275,0.1014263927936554
curv,0.575,0.25,11,1,0.3825648,0.07554994,0,0.32499999999999996,0.13256481289863586
curv,0.625,0.25,12,1,0.41370326,0.15785772,0,0.375,0.16370326280593872
curv,0.675,0.25,13,1,0.4448417,0.24016544,0,0.42500000000000004,0.19484171271324158
curv,0.7250000000000001,0.25,14,1,0.47594306,0.32217595,0,0.4750000000000001,0.22594305872917175
flat,0.275,0.7500000000000001,0,0,0.5341684,-0.19462994,0,-0.4750000000000001,-0.21583157777786266
flat,0.325,0.7500000000000001,1,0,0.5653069,-0.11232218,0,-0.4250000000000001,-0.18469309806823742
flat,0.37500000000000006,0.7500000000000001,2,0,0.5964453,-0.030014478,0,-0.37500000000000006,-0.15355467796325695
flat,0.425,0.7500000000000001,3,0,0.6269576,0.047275595,0,-0.3250000000000001,-0.12304240465164196
flat,0.475,0.7500000000000001,4,0,0.6555069,0.10883459,0,-0.27500000000000013,-0.0944930911064149
flat,0.525,0.7500000000000001,5,0,0.6840563,0.17039368,0,-0.2250000000000001,-0.06594371795654308
flat,0.575,0.7500000000000001,6,0,0.71260566,0.2319527,0,-0.17500000000000016,-0.037394344806671254
