chanID,unitID,FR > .2,alignment,amp at align,ISI,d > 2,keep
1,596,,,,,,
1,612,,,,,,
2,1432,,,,,,
2,1502,,,,,,
2,1543,,,,,,
2,1583,,,,,,1
3,506,,,,,,
3,703,,,,,,
4,636,,,,,,
4,683,,,,,,
5,952,,,,,,1
6,2460,,,,,,1
6,2475,,,,,,1
6,2477,,,,,,1
7,1466,,,,,,1
7,1469,,,,,,
8,2349,,,,,,1
8,2405,,,,,,
8,2410,,,,,,1
9,1892,,,,,,1
9,1938,,,,,,1
10,2423,,,,,,
10,2448,,,,,,1
10,2455,,,,,,1
10,2457,,,,,,
10,2481,,,,,,
11,1518,,,,,,
11,1755,,,,,,
11,1776,,,,,,1
12,1348,,,,,,
12,1396,,,,,,
12,1553,,,,,,
12,1566,,,,,,
12,1567,,,,,,1
13,1715,,,,,,
13,1760,,,,,,1
13,1763,,,,,,1
13,1772,,,,,,
14,976,,,,,,
14,1042,,,,,,
14,1045,,,,,,
15,1433,,,,,,
15,1799,,,,,,
15,1825,,,,,,
15,1953,,,,,,
15,1960,,,,,,1
15,1972,,,,,,1
16,1712,,,,,,
16,2185,,,,,,
16,2226,,,,,,1
16,2236,,,,,,1
17,2769,,,,,,
17,3198,,,,,,1
17,3203,,,,,,
17,3227,,,,,,
17,3243,,,,,,1
18,2308,,,,,,
18,2323,,,,,,
19,264,,,,,,
19,571,,,,,,
19,1998,,,,,,
20,1747,,,,,,
20,1901,,,,,,
20,1921,,,,,,
20,1935,,,,,,1
21,1585,,,,,,
21,1736,,,,,,
22,1558,,,,,,
22,2261,,,,,,
22,2280,,,,,,
23,1663,,,,,,
23,1678,,,,,,
24,1373,,,,,,
24,1882,,,,,,
25,130,,,,,,
25,147,,,,,,
26,82,,,,,,
26,117,,,,,,
27,141,,,,,,
27,163,,,,,,
28,157,,,,,,
28,172,,,,,,
29,148,,,,,,
29,151,,,,,,
30,118,,,,,,
30,156,,,,,,
31,182,,,,,,
31,188,,,,,,
32,167,,,,,,
32,174,,,,,,
