thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,valence,correct,outcome,one_cross.started,one_cross.stopped,one_coin.started,one_coin.stopped,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,marker.stopped,slider_resp.stopped,submit_resp.stopped,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,3,0.3,-0.34,1.0,0.232,curv,flat_curv,0.0,0.34,pen,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,10.138620399999922,None,None,None,"['left', 'right']","[1.2473880000000008, 1.6153101999999535]","[0.2400180999999293, 0.16009189999999762]",up,1.8953871999999592,None,0,0,0,0,0,0,0,3,10.233302600000002,,0.0218541000000414,0.028436700000042947,0.028436700000042947,10.18344460000003,up,10.138620399999922,None,10.225639600000022,0.042182300000035866,11.110294100000033,11.11038730000007,11.117006100000026,12.116573600000038,12.100110200000017,12.100206200000002,0.00010249999991174263,13.534586200000035,13.536107800000082,13.55169120000005,13.55169120000005,13.55169120000005,13.55169120000005,13.55169120000005,13.55169120000005,13.55169120000005,15.450729300000035,"[0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.12, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184, 0.184]",None,None,"['left', 'right']","[1.2473880000000008, 1.6153101999999535]","[0.2400180999999293, 0.16009189999999762]",up,1.8953871999999592,None,15.450914000000012,15.466704700000037,15.716714000000024,15.700200100000075,15.700244400000088,15.716714000000024,15.716714000000024,16.716739000000075,16.716739000000075,16.700236500000074,rew,1,3,,,,,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
1,1,0,1,1,baseline,10,1.1,-0.18,1.0,0.264,curv,curv_flat,0.0,-0.18,pen,rew,input_data/stims/Shape_1.10_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,10.138620399999922,None,None,None,['left'],[0.9274643999999626],[0.5119644000000108],up,1.4715052000000242,None,0,0,0,0,0,1,1,10,16.716739000000075,,,,,,,,,16.700486700000056,0.00024609999991298537,17.684312500000033,17.684369800000013,17.700115600000004,18.70014560000004,18.683645700000056,18.683743700000036,0.00010269999995671242,19.968236400000023,19.969463100000098,19.98358870000004,19.98358870000004,19.98358870000004,19.98358870000004,19.98358870000004,19.98358870000004,19.98358870000004,21.467590000000087,"[0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.016, 0.016, 0.016]",None,None,['left'],[0.9274643999999626],[0.5119644000000108],up,1.4715052000000242,None,21.467753000000016,21.483587000000057,21.733603100000096,21.71699870000009,21.717041100000074,21.733603100000096,,22.733617800000047,,22.717054200000007,rew,0,-1,21.733603100000096,22.733617800000047,,,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
2,2,0,1,1,baseline,33,3.3,0.26,3.0,-0.048,flat,flat_curv,0.0,-0.26,rew,pen,input_data/stims/Shape_3.30_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,10.138620399999922,None,None,None,"['right', 'left', 'left']","[0.17671889999996893, 0.32071429999996326, 0.8246718000000328]","[0.1759318000000576, 0.6478852000000188, None]",up,1.0806557999999313,None,0,0,0,0,0,2,2,33,22.733617800000047,,,,,,,,,22.717302100000097,0.00024580000001606095,23.701741000000084,23.70178820000001,23.716936099999998,24.716971200000103,24.70044150000001,24.700538300000062,9.929999998803396e-05,26.135611500000095,26.136600600000065,26.15039790000003,26.15039790000003,26.15039790000003,26.15039790000003,26.15039790000003,26.15039790000003,26.15039790000003,27.234358000000043,"[-0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.024, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232, -0.232]",None,None,"['right', 'left', 'left']","[0.17671889999996893, 0.32071429999996326, 0.8246718000000328]","[0.1759318000000576, 0.6478852000000188, None]",up,1.0806557999999313,None,27.234515800000054,27.25039150000009,27.500419100000045,27.4838529000001,27.48389880000002,27.500419100000045,,28.50043900000003,,28.483924300000012,pen,1,1,,,27.500419100000045,28.50043900000003,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
3,3,0,1,1,baseline,4,0.5,-0.3,1.0,-0.128,curv,curv_flat,0.0,-0.3,pen,rew,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,10.138620399999922,None,None,None,['right'],[0.49785559999997986],[0.33591150000006564],up,0.8337671000000455,None,0,0,0,0,0,3,3,4,28.50043900000003,,,,,,,,,28.484173499999997,0.000244400000042333,29.518688100000077,29.518733800000064,29.533809200000064,30.533846799999992,30.517247200000043,30.517347000000086,0.00010369999995418766,31.901836700000104,31.902810000000045,31.917266700000027,31.917266700000027,31.917266700000027,31.917266700000027,31.917266700000027,31.917266700000027,31.917266700000027,32.767795800000044,"[-0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.12, -0.112, -0.104, -0.096, -0.088, -0.08, -0.072, -0.064, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.04]",None,None,['right'],[0.49785559999997986],[0.33591150000006564],up,0.8337671000000455,None,32.7679339,32.78389400000003,33.03392030000009,33.017326300000036,33.01737000000003,33.03392030000009,,34.03395390000003,,34.01735530000008,rew,0,-1,33.03392030000009,34.03395390000003,,,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
4,4,0,1,1,baseline,38,3.9,0.38,3.0,0.288,flat,curv_flat,0.0,0.38,rew,pen,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,10.138620399999922,None,None,None,None,,,up,1.3163165999999364,None,0,0,0,0,0,4,4,38,34.03395390000003,,,,,,,,,34.017611500000044,0.0002528999999640291,34.95373870000003,34.953783900000076,34.9672769,35.967231500000025,35.95071530000007,35.950812900000074,0.00010220000001481822,37.43564780000008,37.43660890000001,37.450691000000006,37.450691000000006,37.450691000000006,37.450691000000006,37.450691000000006,37.450691000000006,37.450691000000006,38.768024500000024,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288]",None,None,None,,,up,1.3163165999999364,None,38.768159600000104,38.7841069000001,39.03402750000009,39.01752350000004,39.0240043,39.03402750000009,,40.03410640000004,,40.017521800000054,pen,0,-3,,,,,39.03402750000009,40.03410640000004,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
5,5,0,1,1,baseline,32,3.3,0.26,3.0,-0.288,flat,curv_flat,0.0,0.26,rew,pen,input_data/stims/Shape_3.30_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,10.138620399999922,None,None,None,['right'],[0.44424549999996543],[0.743995899999959],up,1.2281820999999127,None,0,0,0,0,0,5,5,32,40.03410640000004,,,,,,,,,40.01777030000005,0.000244400000042333,40.95214700000008,40.95223980000003,40.967500599999994,41.96748980000007,41.95087680000006,41.9509743000001,0.0001015999999935957,43.2368606,43.237822800000004,43.250817299999994,43.250817299999994,43.250817299999994,43.250817299999994,43.250817299999994,43.250817299999994,43.250817299999994,44.48487340000008,"[-0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.288, -0.28, -0.272, -0.264, -0.256, -0.248, -0.24, -0.232, -0.224, -0.216, -0.208, -0.2, -0.192, -0.184, -0.176, -0.168, -0.16, -0.152, -0.144, -0.136, -0.128, -0.12, -0.112, -0.104, -0.096, -0.088, -0.08, -0.072, -0.064, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.04, 0.04, 0.04]",None,None,['right'],[0.44424549999996543],[0.743995899999959],up,1.2281820999999127,None,44.4850206000001,44.5008620000001,44.75085790000003,44.73433540000008,44.73485840000001,44.75085790000003,,45.750865400000066,,45.73439380000002,pen,1,1,,,44.75085790000003,45.750865400000066,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
6,6,0,1,1,baseline,9,0.9,-0.22,1.0,-0.112,curv,flat_curv,0.0,0.22,pen,rew,input_data/stims/Shape_0.90_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,10.138620399999922,None,None,None,['right'],[0.5473317999999381],[0.3041397000000643],up,0.8514715000000024,None,0,0,0,0,0,6,6,9,45.750865400000066,,,,,,,,,45.73464799999999,0.00025100000004840695,46.62060400000007,46.62067430000002,46.63429600000006,47.634262300000046,47.61774720000005,47.61784190000003,9.939999995367543e-05,49.05150030000004,49.0524683000001,49.06769250000002,49.06769250000002,49.06769250000002,49.06769250000002,49.06769250000002,49.06769250000002,49.06769250000002,49.93494420000002,"[-0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.112, -0.104, -0.096, -0.088, -0.08, -0.072, -0.064, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.04]",None,None,['right'],[0.5473317999999381],[0.3041397000000643],up,0.8514715000000024,None,49.935088300000075,49.95100660000003,50.20099760000005,50.18446610000001,50.184512100000006,50.20099760000005,50.20099760000005,51.200979600000096,51.200979600000096,51.18446000000006,rew,1,3,,,,,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
7,7,0,1,1,baseline,13,1.3,-0.14,1.0,-0.356,curv,flat_curv,0.0,0.14,pen,rew,input_data/stims/Shape_1.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,10.138620399999922,None,None,None,['right'],[0.515118799999982],[0.43210209999995186],up,1.2591843000000154,None,0,0,0,0,0,7,7,13,51.200979600000096,,,,,,,,,51.184710700000096,0.0002474000000347587,52.16902730000004,52.16912310000009,52.18442090000008,53.184368300000074,53.167915700000094,53.16801310000005,0.00010210000004917674,54.65225780000003,54.65354220000006,54.667860399999995,54.667860399999995,54.667860399999995,54.667860399999995,54.667860399999995,54.667860399999995,54.667860399999995,55.93521050000004,"[-0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.356, -0.348, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148, -0.148]",None,None,['right'],[0.515118799999982],[0.43210209999995186],up,1.2591843000000154,None,55.935358199999996,55.95115150000004,56.201151000000095,56.18456850000007,56.18461250000007,56.201151000000095,,57.2011993000001,,57.184617900000035,rew,0,-1,56.201151000000095,57.2011993000001,,,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
8,8,0,1,1,baseline,30,3.1,0.22,3.0,0.12,flat,curv_flat,0.0,0.22,rew,pen,input_data/stims/Shape_3.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,10.138620399999922,None,None,None,None,,,up,0.8450092000000495,None,0,0,0,0,0,8,8,30,57.2011993000001,,,,,,,,,57.18488000000002,0.00025909999999385036,58.219723900000076,58.21977000000004,58.234523800000034,59.23459200000002,59.21809380000002,59.21819090000008,0.00010059999999612046,60.602010199999995,60.60300670000004,60.618021500000054,60.618021500000054,60.618021500000054,60.618021500000054,60.618021500000054,60.618021500000054,60.618021500000054,61.46869330000004,"[0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12]",None,None,None,,,up,0.8450092000000495,None,61.46881570000005,61.4845997000001,61.7346467000001,61.71815409999999,61.720228200000065,61.7346467000001,,62.73466900000005,,62.71820600000001,pen,0,-3,,,,,61.7346467000001,62.73466900000005,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
9,9,0,1,1,baseline,34,3.5,0.3,3.0,0.372,flat,curv_flat,0.0,0.3,rew,pen,input_data/stims/Shape_3.50_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,10.138620399999922,None,None,None,"['left', 'right']","[0.08954439999990882, 0.385526499999969]","[None, None]",up,0.8415616999999429,None,0,0,0,0,0,9,9,34,62.73466900000005,,,,,,,,,62.71845930000006,0.0002505999999584674,63.60306620000006,63.6031127,63.61809440000002,64.61809820000008,64.60152950000008,64.60162660000003,0.00010190000000420696,65.88639720000003,65.88738290000003,65.9014522,65.9014522,65.9014522,65.9014522,65.9014522,65.9014522,65.9014522,66.75210600000003,"[0.372, 0.372, 0.372, 0.372, 0.372, 0.372, 0.372, 0.364, 0.356, 0.348, 0.34, 0.332, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.324, 0.332, 0.34, 0.348, 0.356, 0.364, 0.372, 0.38, 0.388, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396]",None,None,"['left', 'right']","[0.08954439999990882, 0.385526499999969]","[None, None]",up,0.8415616999999429,None,66.75224420000006,66.76818120000007,67.01817620000008,67.00157790000003,67.00213170000006,67.01817620000008,,68.0182168,,68.00173800000005,pen,1,1,,,67.01817620000008,68.0182168,,,,,,,,,,,,,,,,,,,202511,patients,B,2025-07-17_14h32.12.588,asymmetry_final,2024.2.4,60,2025-07-17 14h32.38.569890 -0600,
