blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_file_pos,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,submit_resp.keys,submit_resp.rt,submit_resp.duration,slider_resp.rt,slider_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,no_resp_text.stopped,Mcoin.stopped,Mcross.stopped,feedback.stopped,valence,correct,outcome,target_stim.stopped,Lcoin.started,Rcoin.started,Lcross.started,Rcross.started,Lcross.stopped,Rcross.stopped,trials.slider_resp.rt,trials.slider_resp.duration,end_block.started,block_end_text.started,block_end_resp.started,end_block.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,Q1.started,Q1_text.started,Q1_resp.started,Q1.stopped,Q1_resp.keys,Q1_resp.rt,Q1_resp.duration,Q2.started,Q2_text.started,Q2_resp.started,Q2.stopped,Q2_resp.keys,Q2_resp.rt,Q2_resp.duration,Q3.started,Q3_text.started,Q3_resp.started,Q3.stopped,Q3_resp.keys,Q3_resp.rt,Q3_resp.duration,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart
1,val_C1F0,0,0,0,1,0,15,1.5,-0.1,0,pen,rew,rew_pen,0.1,input_data/stims/Shape_1.50_0.00.png,0,0.391520755,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,1.577464,None,None,None,None,return,2.4962385,None,,,0,0,0,0,0,0,0,15,1.6630506,,0.0460993,0.0539551,0.0539551,1.6326652,return,1.577464,None,1.6602085,0.0275063,2.6446698,2.6447799,2.6913988,3.6426131,3.6426868,0.0100051,5.1272151,5.1309755,5.2185748,5.2185748,5.2185748,5.2185748,5.2185748,5.2185748,5.2185748,7.7282503,"[0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.382, 0.372, 0.362, 0.352, 0.342, 0.332, 0.322, 0.312, 0.302, 0.292, 0.282, 0.272, 0.262, 0.252, 0.242, 0.232, 0.222, 0.212, 0.202, 0.192, 0.182, 0.172, 0.162, 0.152, 0.142, 0.132, 0.122, 0.112, 0.102, 0.092, 0.082, 0.072, 0.062, 0.052, 0.042, 0.032, 0.022, 0.012, 0.002, -0.008, -0.018, -0.028, -0.038, -0.048, -0.058, -0.068, -0.078, -0.088, -0.098, -0.108, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118, -0.118]",None,None,None,return,2.4962385,None,7.7285049,7.7451036,7.7451036,7.7451036,8.7447434,8.7447434,8.7447434,8.7287256,rew,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,1,1,0,1,0,23,2.3,0.06,4,rew,pen,rew_pen,-0.06,input_data/stims/Shape_2.30_4.00.png,0,-0.175684651,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,return,1.577464,None,None,None,None,return,1.2732338,None,,,0,0,0,0,0,1,1,23,8.7447434,,,,,,,,,8.72908,0.0003474,9.7141126,9.7142015,9.7306501,10.6930287,10.6931775,0.0002062,12.1776374,12.1807522,12.2370171,12.2370171,12.2370171,12.2370171,12.2370171,12.2370171,12.2370171,13.5141849,"[-0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.186, -0.196, -0.206, -0.216, -0.226, -0.236, -0.246, -0.256, -0.266, -0.276, -0.286, -0.296, -0.306, -0.316, -0.326, -0.336, -0.346, -0.356, -0.366, -0.376, -0.386, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396]",None,None,None,return,1.2732338,None,13.5144654,13.5285963,13.5285963,,14.5293096,14.5293096,,14.5132895,pen,1,1,10.7066994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,2,2,0,1,0,18,1.9,-0.02,0,pen,rew,pen_rew,-0.02,input_data/stims/Shape_1.90_0.00.png,0,-0.367316425,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,1.577464,None,None,None,None,return,1.6356065,None,,,0,0,0,0,0,2,2,18,14.5293096,,,,,,,,,14.5136394,0.0003407,15.4979013,15.4980222,15.5164159,16.4787201,16.4788383,0.0001216,17.9625234,17.9658023,18.0011576,18.0011576,18.0011576,18.0011576,18.0011576,18.0011576,18.0011576,19.6452907,"[-0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.357, -0.347, -0.337, -0.327, -0.317, -0.307, -0.297, -0.287, -0.277, -0.267, -0.257, -0.247, -0.237, -0.227, -0.217, -0.207, -0.197, -0.187, -0.177, -0.167, -0.157, -0.147, -0.137, -0.127, -0.117, -0.107, -0.097, -0.087, -0.077, -0.067, -0.057, -0.047, -0.037, -0.027, -0.017, -0.007, 0.003, 0.013, 0.023, 0.033, 0.043, 0.053, 0.063, 0.073, 0.083, 0.093, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103, 0.103]",None,None,None,return,1.6356065,None,19.645612,19.6605052,19.6605052,19.6605052,20.6597647,20.6597647,20.6597647,20.6444397,rew,-1,-1,16.492538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,3,3,0,1,0,19,1.9,-0.02,0,pen,rew,rew_pen,0.02,input_data/stims/Shape_1.90_0.00.png,0,0.304956275,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,1.577464,None,None,None,None,return,1.6063676,None,,,0,0,0,0,0,3,3,19,20.6597647,,,,,,,,,20.6447928,0.0003477,21.6297349,21.6298583,21.6490101,22.6113106,22.6114903,0.0001723,24.0957884,24.099424,24.1356591,24.1356591,24.1356591,24.1356591,24.1356591,24.1356591,24.1356591,25.7454341,"[0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.305, 0.295, 0.285, 0.275, 0.265, 0.255, 0.245, 0.235, 0.225, 0.215, 0.205, 0.195, 0.185, 0.175, 0.165, 0.155, 0.145, 0.135, 0.125, 0.115, 0.105, 0.095, 0.085, 0.075, 0.065, 0.055, 0.045, 0.035, 0.025, 0.015, 0.005, -0.005, -0.015, -0.025, -0.035, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.055, -0.065, -0.075, -0.085, -0.095, -0.105, -0.115, -0.125, -0.135, -0.145, -0.155, -0.165, -0.175, -0.185, -0.195, -0.205, -0.215, -0.225, -0.225, -0.225, -0.225, -0.225]",None,None,None,return,1.6063676,None,25.7456597,25.7612386,25.7612386,25.7612386,26.7612504,26.7612504,26.7612504,26.7449815,rew,-1,-1,22.6247493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,4,4,0,1,0,12,1.3,-0.14,0,pen,rew,pen_rew,-0.14,input_data/stims/Shape_1.30_0.00.png,0,-0.267082893,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,1.577464,None,None,None,None,return,1.3304314,None,,,0,0,0,0,0,4,4,12,26.7612504,,,,,,,,,26.7453289,0.0003382,27.7301025,27.7302305,27.7486852,28.7109088,28.7110447,0.0001318,30.1956177,30.1992684,30.2350812,30.2350812,30.2350812,30.2350812,30.2350812,30.2350812,30.2350812,31.5798767,"[-0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.267, -0.257, -0.247, -0.237, -0.227, -0.217, -0.207, -0.197, -0.187, -0.177, -0.167, -0.157, -0.147, -0.137, -0.127, -0.117, -0.117, -0.117, -0.117, -0.117, -0.127, -0.137, -0.147, -0.157, -0.167, -0.177, -0.187, -0.197, -0.207, -0.217, -0.227, -0.237, -0.247, -0.257, -0.267, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277, -0.277]",None,None,None,return,1.3304314,None,31.5801904,31.594587,,,32.5944015,,,32.5788204,rew,1,2,28.7245318,31.594587,31.594587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,5,5,0,1,0,33,3.3,0.26,4,rew,pen,rew_pen,-0.26,input_data/stims/Shape_3.30_4.00.png,0,-0.217443227,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,return,1.577464,None,None,None,None,return,0.9005861,None,,,0,0,0,0,0,5,5,33,32.5944015,,,,,,,,,32.5794243,0.0005934,33.5642221,33.5643503,33.5833391,34.5455537,34.5457618,0.0001487,36.0310185,36.0333972,36.0611425,36.0611425,36.0611425,36.0611425,36.0611425,36.0611425,36.0611425,36.9731747,"[-0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.217, -0.227, -0.237, -0.247, -0.257, -0.267, -0.277, -0.287, -0.297, -0.307, -0.317, -0.327, -0.337, -0.347, -0.357, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367, -0.367]",None,None,None,return,0.9005861,None,36.9734946,36.9872687,36.9872687,,37.9873544,37.9873544,,37.9715853,pen,1,1,34.5591055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,6,6,0,1,0,38,3.9,0.38,4,rew,pen,pen_rew,0.38,input_data/stims/Shape_3.90_4.00.png,0,0.299708464,input_data/stims/Shape_0.00_4.00.png,input_data/stims/Shape_4.00_4.00.png,return,1.577464,None,None,None,None,return,0.993928,None,,,0,0,0,0,0,6,6,38,37.9873544,,,,,,,,,37.9721924,0.0006638,38.9569754,38.9570924,38.9753499,39.9374707,39.9375851,0.0001215,41.4222688,41.4253913,41.460523,41.460523,41.460523,41.460523,41.460523,41.460523,41.460523,42.4721767,"[0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.29, 0.28, 0.27, 0.26, 0.25, 0.24, 0.23, 0.22, 0.21, 0.2, 0.19, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13, 0.12, 0.11, 0.1, 0.09, 0.09, 0.09]",None,None,None,return,0.993928,None,42.472534,42.4862127,42.4862127,,43.4866086,43.4866086,,43.4707212,pen,1,1,39.9514998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,7,7,0,1,0,7,0.7,-0.26,0,pen,rew,rew_pen,0.26,input_data/stims/Shape_0.70_0.00.png,0,0.200104842,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,1.577464,None,None,None,None,return,0.8326533,None,,,0,0,0,0,0,7,7,7,43.4866086,,,,,,,,,43.4710723,0.000342,44.4555183,44.4556389,44.4744213,45.4360172,45.4360752,6.52E-05,46.920774,46.9231515,46.9532557,46.9532557,46.9532557,46.9532557,46.9532557,46.9532557,46.9532557,47.7967171,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.19, 0.18, 0.17, 0.16, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",None,None,None,return,0.8326533,None,47.7969598,47.8123917,,,48.8128293,,,48.7966742,rew,1,2,45.4502957,47.8123917,47.8123917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,8,8,0,1,0,1,0.1,-0.38,0,pen,rew,rew_pen,0.38,input_data/stims/Shape_0.10_0.00.png,0,0.316255409,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,1.577464,None,None,None,None,return,1.2884855,None,,,0,0,0,0,0,8,8,1,48.8128293,,,,,,,,,48.7972941,0.000665,49.7823516,49.7824732,49.8013294,50.7631629,50.7632802,0.0001283,52.2487093,52.2522819,52.285748,52.285748,52.285748,52.285748,52.285748,52.285748,52.285748,53.57913,"[0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.306, 0.296, 0.286, 0.276, 0.266, 0.256, 0.246, 0.236, 0.226, 0.216, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.206, 0.196, 0.186, 0.176, 0.166, 0.156, 0.146, 0.136, 0.126, 0.116, 0.106, 0.096, 0.096]",None,None,None,return,1.2884855,None,53.5793765,53.5958743,,,54.5951197,,,54.5789208,rew,1,2,50.7774244,53.5958743,53.5958743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
1,val_C1F0,9,9,0,1,0,8,0.9,-0.22,0,pen,rew,pen_rew,-0.22,input_data/stims/Shape_0.90_0.00.png,0,-0.008032511,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,1.577464,None,None,None,None,return,0.8881611,None,,,0,0,0,0,0,9,9,8,54.5951197,,,,,,,,,54.5794106,0.000483,55.5638664,55.5639639,55.5794998,56.5414562,56.5415476,0.000106,58.0258955,58.0277975,58.0568038,58.0568038,58.0568038,58.0568038,58.0568038,58.0568038,58.0568038,58.9517198,"[-0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.008, -0.018, -0.028, -0.038, -0.048, -0.058, -0.068, -0.078, -0.088, -0.098, -0.108, -0.118, -0.128, -0.138, -0.148, -0.158, -0.168, -0.178, -0.188, -0.198, -0.208, -0.218, -0.228, -0.238, -0.238, -0.238, -0.238, -0.238]",None,None,None,return,0.8881611,None,58.9520119,58.9660886,,,59.9660596,,,59.9499665,rew,1,2,56.555481,58.9660886,58.9660886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salma,B,2025-03-06_15h05.56.784,asymmetry_v11,2024.2.4,60,2025-03-06 15h06.33.379347 -0500
