blockN,stimVal,thisN,thisTrialN,thisRepN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,anchor,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,placeHolder_base.started,ISI1.started,placeHolder_base.stopped,baseline.stopped,stim.started,target_stim.started,stim.stopped,delay.started,placeHolder_delay.started,ISI2.started,placeHolder_delay.stopped,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,debug_task.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,delay2.started,ISI.started,delay2.stopped,feedback.started,no_resp_text.started,Lcoin.started,Rcoin.started,no_resp_text.stopped,Lcoin.stopped,Rcoin.stopped,feedback.stopped,valence,correct,outcome,target_stim.stopped,Mcoin.started,Mcoin.stopped,Mcross.started,Mcross.stopped,Lcross.started,Rcross.started,Lcross.stopped,Rcross.stopped,end_block.started,block_end_text.started,block_end_resp.started,end_block.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,Q1.started,Q1_text.started,Q1_resp.started,Q1.stopped,Q1_resp.keys,Q1_resp.rt,Q1_resp.duration,Q2.started,Q2_text.started,Q2_resp.started,Q2.stopped,Q2_resp.keys,Q2_resp.rt,Q2_resp.duration,Q3.started,Q3_text.started,Q3_resp.started,Q3.stopped,Q3_resp.keys,Q3_resp.rt,Q3_resp.duration,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,subj_C0F1_val,0,0,0,1,baseline,33,3.3,0.26,4,-0.236268125,flat,flat_curv,0.0,-0.26,rew,pen,input_data/stims/Shape_3.30_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,1.6467364999989513,None,None,None,"['right', 'left']","[0.28716789999816683, 0.47983359999852837]","[0.21624530000190134, 0.15355600000111735]",up,0.895254200000636,None,0,0,0,0,0,0,0,33,1.7004177999988315,,0.013522999997803709,0.020031500000186497,0.020031500000186497,1.6693400000003749,up,1.6467364999989513,None,1.6972222999975202,1.7004177999988315,0.027834799999254756,3.012225700000272,2.9715113999991445,2.971577599997545,3.012225700000272,3.9783801999983552,3.9787083999981405,3.9852429999991728,0.007308699998247903,5.744948499999737,5.637639399999898,5.640776799999003,5.744948499999737,5.744948499999737,5.744948499999737,5.744948499999737,5.744948499999737,5.744948499999737,5.744948499999737,5.744948499999737,6.6453776999987895,"[-0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.231, -0.226, -0.221, -0.216, -0.211, -0.206, -0.201, -0.196, -0.191, -0.186, -0.181, -0.176, -0.171, -0.166, -0.161, -0.156, -0.151, -0.146, -0.141, -0.136, -0.131, -0.126, -0.121, -0.116, -0.116, -0.116, -0.116, -0.121, -0.126, -0.131, -0.136, -0.141, -0.146, -0.151, -0.156, -0.161, -0.166, -0.171, -0.176, -0.181, -0.186, -0.191, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196, -0.196]",None,None,"['right', 'left']","[0.28716789999816683, 0.47983359999852837]","[0.21624530000190134, 0.15355600000111735]",up,0.895254200000636,None,6.645607499998732,5.120000059832819e-05,6.8392862000000605,6.839470499999152,6.846413100000063,6.846413100000063,6.846413100000063,7.843555199997354,7.843555199997354,7.843555199997354,7.836244199999783,rew,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,1,1,0,1,baseline,18,1.9,-0.02,0,-0.002802649,curv,curv_flat,0.0,-0.02,pen,rew,input_data/stims/Shape_1.90_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.6467364999989513,None,None,None,['right'],[0.39584219999960624],[0.20254810000187717],up,0.8785543000012694,None,0,0,0,0,0,1,1,18,7.843555199997354,,,,,,,,,7.836784099999932,7.843555199997354,0.0005314999980328139,8.856154299999616,8.846817499997996,8.84688129999995,8.856154299999616,9.84551189999911,9.84576670000024,9.851789399999689,0.005302100002154475,11.675078000000212,11.652107199999591,11.65496549999807,11.675078000000212,11.675078000000212,11.675078000000212,11.675078000000212,11.675078000000212,11.675078000000212,11.675078000000212,11.675078000000212,12.561869599998317,"[-0.008, -0.013, -0.018, -0.023, -0.028, -0.033, -0.038, -0.043, -0.048, -0.053, -0.058, -0.063, -0.068, -0.073, -0.078, -0.083, -0.088, -0.093, -0.098, -0.103, -0.108, -0.113, -0.118, -0.123, -0.128, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.133, -0.128, -0.123, -0.118, -0.113, -0.108, -0.103, -0.098, -0.093, -0.088, -0.083, -0.078, -0.073, -0.068, -0.063, -0.058, -0.053, -0.048, -0.043, -0.038, -0.033, -0.028, -0.023, -0.018, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013]",None,None,['right'],[0.39584219999960624],[0.20254810000187717],up,0.8785543000012694,None,12.562095999997837,5.8499997976468876e-05,12.755966199998511,12.756143799997517,12.760828999998921,,,13.759135299998889,,,13.751993300000322,pen,1,1,9.851789399999689,12.760828999998921,13.759135299998889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,2,2,0,1,baseline,27,2.7,0.14,4,-0.058876538,flat,flat_curv,0.0,-0.14,rew,pen,input_data/stims/Shape_2.70_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,1.6467364999989513,None,None,None,['right'],[0.6875030000010156],[0.19205069999952684],up,1.0108276999999362,None,0,0,0,0,0,2,2,27,13.759135299998889,,,,,,,,,13.752473599997757,13.759135299998889,0.0004684999985329341,14.815343199999916,14.806122199999663,14.80618069999764,14.815343199999916,15.803305899997213,15.80363479999869,15.809633900000335,0.0037545000013778917,17.597250599999825,17.574035099998582,17.576530799997272,17.597250599999825,17.597250599999825,17.597250599999825,17.597250599999825,17.597250599999825,17.597250599999825,17.597250599999825,17.597250599999825,18.617929599997296,"[-0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.059, -0.054, -0.049, -0.044, -0.039, -0.034, -0.029, -0.024, -0.019, -0.014, -0.009, -0.004, 0.001, 0.006, 0.011, 0.016, 0.021, 0.026, 0.031, 0.036, 0.041, 0.046, 0.051, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056, 0.056]",None,None,['right'],[0.6875030000010156],[0.19205069999952684],up,1.0108276999999362,None,18.618182099999103,6.229999780771323e-05,18.812125399999786,18.81228199999896,18.817480899997463,,,19.80947240000023,,,19.80248649999703,rew,-1,-1,15.809633900000335,18.817480899997463,19.80947240000023,18.817480899997463,19.80947240000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,3,3,0,1,baseline,31,3.1,0.22,4,-0.059630919,flat,flat_curv,0.0,-0.22,rew,pen,input_data/stims/Shape_3.10_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,1.6467364999989513,None,None,None,['left'],[0.3941086000013456],[0.10928259999855072],up,0.6044094999997469,None,0,0,0,0,0,3,3,31,19.80947240000023,,,,,,,,,19.803077900000062,19.80947240000023,0.0006117000011727214,20.81855209999776,20.80766439999934,20.8077732999991,20.81855209999776,21.803885699999228,21.80415439999706,21.809646300000168,0.002349099999264581,23.408797899999627,23.384222099997714,23.39010899999994,23.408797899999627,23.408797899999627,23.408797899999627,23.408797899999627,23.408797899999627,23.408797899999627,23.408797899999627,23.408797899999627,24.019813499999145,"[-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.065, -0.07, -0.075, -0.08, -0.085, -0.09, -0.095, -0.1, -0.105, -0.11, -0.115, -0.12, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125]",None,None,['left'],[0.3941086000013456],[0.10928259999855072],up,0.6044094999997469,None,24.020013800000015,5.4200001613935456e-05,24.213827699997637,24.214000599997235,24.21848459999819,24.21848459999819,24.21848459999819,25.209763999999268,25.209763999999268,25.209763999999268,25.210490699999355,rew,1,2,21.809646300000168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,4,4,0,1,baseline,11,1.1,-0.18,0,0.282573784,curv,flat_curv,0.0,0.18,pen,rew,input_data/stims/Shape_1.10_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,1.6467364999989513,None,None,None,"['right', 'left', 'right']","[0.22045079999952577, 0.361249499997939, 0.541292699999758]","[0.20869329999914044, 0.4321498999997857, 0.10679869999876246]",up,1.0911596000005375,None,0,0,0,0,0,4,4,11,25.218233299998246,,,,,,,,,25.21111319999909,25.218233299998246,0.0006094999989727512,26.52142719999756,26.5142769999984,26.514326999997138,26.52142719999756,27.5109816999975,27.51119109999854,27.517220499998075,0.0030096000009507407,29.05516809999972,29.0333232999983,29.03604489999998,29.05516809999972,29.05516809999972,29.05516809999972,29.05516809999972,29.05516809999972,29.05516809999972,29.05516809999972,29.05516809999972,30.154185999999754,"[0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.288, 0.293, 0.298, 0.303, 0.308, 0.313, 0.318, 0.323, 0.328, 0.333, 0.338, 0.343, 0.348, 0.353, 0.358, 0.358, 0.358, 0.358, 0.358, 0.358, 0.358, 0.358, 0.358, 0.353, 0.348, 0.343, 0.338, 0.333, 0.328, 0.323, 0.318, 0.313, 0.308, 0.303, 0.298, 0.293, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.283, 0.278, 0.273, 0.268, 0.263, 0.258, 0.253, 0.248, 0.243, 0.238, 0.233, 0.228, 0.223, 0.218, 0.213, 0.208, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203, 0.203]",None,None,"['right', 'left', 'right']","[0.22045079999952577, 0.361249499997939, 0.541292699999758]","[0.20869329999914044, 0.4321498999997857, 0.10679869999876246]",up,1.0911596000005375,None,30.15446299999894,5.6700002460274845e-05,30.346508700000413,30.346660399998655,30.350668600000063,,,31.34229289999712,,,31.343051599997125,pen,1,1,27.517220499998075,30.350668600000063,31.34229289999712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,5,5,0,1,baseline,36,3.7,0.34,4,0.029493775,flat,curv_flat,0.0,0.34,rew,pen,input_data/stims/Shape_3.70_4.00.png,input_data/stims/Shape_0.00_4.00.png,input_data/stims/Shape_4.00_4.00.png,up,1.6467364999989513,None,None,None,"['right', 'left', 'right', 'left', 'right', 'left']","[0.047885100000712555, 0.27117660000294563, 0.41818419999981415, 0.5778851000031864, 0.8759900000004563, 1.0109711000004609]","[0.25725810000221827, 0.19515449999744305, 0.17881540000234963, 0.23170959999697516, 0.1977939000025799, 0.31790879999971366]",up,1.482548300002236,None,0,0,0,0,0,5,5,36,31.350461099998938,,,,,,,,,31.343582699999388,31.350461099998938,0.000517000000400003,32.35830079999869,32.34988499999963,32.34993050000048,32.35830079999869,33.34406999999919,33.34437329999855,33.35125969999717,0.0017565999987709802,35.0928408999971,35.070208499997534,35.07299570000032,35.0928408999971,35.0928408999971,35.0928408999971,35.0928408999971,35.0928408999971,35.0928408999971,35.0928408999971,35.0928408999971,36.57766039999842,"[0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.034, 0.039, 0.044, 0.049, 0.054, 0.059, 0.064, 0.069, 0.074, 0.079, 0.084, 0.089, 0.094, 0.099, 0.104, 0.109, 0.114, 0.119, 0.124, 0.129, 0.134, 0.139, 0.144, 0.149, 0.154, 0.159, 0.164, 0.169, 0.169, 0.169, 0.169, 0.169, 0.164, 0.159, 0.154, 0.149, 0.144, 0.139, 0.134, 0.129, 0.124, 0.119, 0.114, 0.109, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.104, 0.109, 0.114, 0.119, 0.124, 0.129, 0.134, 0.139, 0.144, 0.149, 0.154, 0.159, 0.164, 0.169, 0.174, 0.174, 0.174, 0.169, 0.164, 0.159, 0.154, 0.149, 0.144, 0.139, 0.134, 0.129, 0.124, 0.119, 0.114, 0.109, 0.104, 0.099, 0.094, 0.089, 0.084, 0.079, 0.074, 0.069, 0.064, 0.059, 0.054, 0.049, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.049, 0.054, 0.059, 0.064, 0.069, 0.074, 0.079, 0.084, 0.089, 0.094, 0.099, 0.104, 0.109, 0.114, 0.119, 0.124, 0.129, 0.129, 0.129, 0.129, 0.129, 0.129, 0.129, 0.129, 0.124, 0.119, 0.114, 0.109, 0.104, 0.099, 0.094, 0.089, 0.084, 0.079, 0.074, 0.069, 0.064, 0.059, 0.054, 0.049, 0.044, 0.039, 0.034, 0.029, 0.024, 0.019, 0.014, 0.009, 0.004, -0.001, -0.006, -0.011, -0.016, -0.021, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026]",None,None,"['right', 'left', 'right', 'left', 'right', 'left']","[0.047885100000712555, 0.27117660000294563, 0.41818419999981415, 0.5778851000031864, 0.8759900000004563, 1.0109711000004609]","[0.25725810000221827, 0.19515449999744305, 0.17881540000234963, 0.23170959999697516, 0.1977939000025799, 0.31790879999971366]",up,1.482548300002236,None,36.57790499999828,5.3800002206116915e-05,36.771426299997984,36.77159860000029,36.77616080000007,,,37.76739689999886,,,37.768329299997276,rew,-1,-1,33.35125969999717,36.77616080000007,37.76739689999886,36.77616080000007,37.76739689999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,6,6,0,1,baseline,37,3.7,0.34,4,-0.213717562,flat,flat_curv,0.0,-0.34,rew,pen,input_data/stims/Shape_3.70_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,1.6467364999989513,None,None,None,['right'],[0.3491777000017464],[0.17271179999806918],up,0.5515630000008969,None,0,0,0,0,0,6,6,37,37.776070699997945,,,,,,,,,37.769066799999564,37.776070699997945,0.0007440999979735352,39.03743689999828,39.0266993999976,39.026813699998456,39.03743689999828,40.02790439999808,40.028232199998456,40.03349899999739,0.0015211999998427927,41.86028299999816,41.84067089999735,41.84312779999891,41.86028299999816,41.86028299999816,41.86028299999816,41.86028299999816,41.86028299999816,41.86028299999816,41.86028299999816,41.86028299999816,42.41897669999889,"[-0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.214, -0.209, -0.204, -0.199, -0.194, -0.189, -0.184, -0.179, -0.174, -0.169, -0.164, -0.159, -0.154, -0.149, -0.144, -0.139, -0.134, -0.129, -0.124, -0.119, -0.114, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109]",None,None,['right'],[0.3491777000017464],[0.17271179999806918],up,0.5515630000008969,None,42.419142799997644,4.600000102072954e-05,42.611611399999674,42.61176459999842,42.61570959999881,42.61570959999881,42.61570959999881,43.608356299999286,43.608356299999286,43.608356299999286,43.60870470000009,rew,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,7,7,0,1,baseline,1,0.1,-0.38,0,0.088461492,curv,flat_curv,0.0,0.38,pen,rew,input_data/stims/Shape_0.10_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,1.6467364999989513,None,None,None,"['right', 'left', 'right']","[0.11445689999891329, 0.19655620000048657, 0.33781489999819314]","[0.12555340000108117, None, None]",up,0.42131589999917196,None,0,0,0,0,0,7,7,1,43.61652129999857,,,,,,,,,43.609145599999465,43.61652129999857,0.00043250000089756213,44.87323280000055,44.86393179999868,44.86398019999979,44.87323280000055,45.86185990000013,45.862093599997024,45.866714499999944,0.0030079999996814877,47.49717249999958,47.4786795,47.48130870000023,47.49717249999958,47.49717249999958,47.49717249999958,47.49717249999958,47.49717249999958,47.49717249999958,47.49717249999958,47.49717249999958,47.91984079999747,"[0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.088, 0.093, 0.098, 0.103, 0.108, 0.113, 0.118, 0.123, 0.128, 0.133, 0.133, 0.133, 0.133, 0.133, 0.133, 0.133, 0.128, 0.123, 0.118, 0.113, 0.108, 0.103, 0.098, 0.093, 0.088, 0.083, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078, 0.078]",None,None,"['right', 'left', 'right']","[0.11445689999891329, 0.19655620000048657, 0.33781489999819314]","[0.12555340000108117, None, None]",up,0.42131589999917196,None,47.91999749999741,4.479999915929511e-05,48.11212339999838,48.11227809999764,48.11608019999767,,,49.10911479999777,,,49.10993189999863,pen,1,1,45.866714499999944,48.11608019999767,49.10911479999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,8,8,0,1,baseline,19,1.9,-0.02,0,0.260871767,curv,flat_curv,0.0,0.02,pen,rew,input_data/stims/Shape_1.90_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,1.6467364999989513,None,None,None,None,,,up,0.5595346999980393,None,0,0,0,0,0,8,8,19,49.11728519999815,,,,,,,,,49.1104826999981,49.11728519999815,0.00048070000048028305,50.273769399998855,50.26451839999936,50.264566099998774,50.273769399998855,51.26181199999701,51.262083300000086,51.26738159999877,0.003281499997683568,52.865684399999736,52.831352599998354,52.83631740000055,52.865684399999736,52.865684399999736,52.865684399999736,52.865684399999736,52.865684399999736,52.865684399999736,52.865684399999736,52.865684399999736,53.42777969999952,"[0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261]",None,None,None,,,up,0.5595346999980393,None,53.427925799998775,4.1200000850949436e-05,53.6204536999976,53.63658880000003,53.638932199999545,,,,,,54.61820739999894,pen,0,0,51.26738159999877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
1,subj_C0F1_val,9,9,0,1,baseline,8,0.9,-0.22,0,-0.057293657,curv,curv_flat,0.0,-0.22,pen,rew,input_data/stims/Shape_0.90_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.6467364999989513,None,None,None,"['right', 'left']","[0.7399378000009165, 0.8373906999986502]","[0.13613550000081887, 0.17867970000224886]",up,1.2284805000017514,None,0,0,0,0,0,9,9,8,54.625427999999374,,,,,,,,,54.61899110000013,54.625427999999374,0.0007031999994069338,55.635406199999125,55.624721500000305,55.62485409999863,55.635406199999125,56.6194902999996,56.6197202000003,56.62455879999834,-1.1500000255182385e-05,58.354682799999864,58.334710499999346,58.33744769999976,58.354682799999864,58.354682799999864,58.354682799999864,58.354682799999864,58.354682799999864,58.354682799999864,58.354682799999864,58.354682799999864,59.58544880000045,"[-0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.052, -0.047, -0.042, -0.037, -0.032, -0.027, -0.022, -0.017, -0.012, -0.007, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.007, -0.012, -0.017, -0.022, -0.027, -0.032, -0.037, -0.042, -0.047, -0.052, -0.057, -0.062, -0.067, -0.072, -0.077, -0.082, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087, -0.087]",None,None,"['right', 'left']","[0.7399378000009165, 0.8373906999986502]","[0.13613550000081887, 0.17867970000224886]",up,1.2284805000017514,None,59.58566779999819,5.140000212122686e-05,59.778858599998784,59.78007339999749,59.78370089999953,,,60.77488539999831,,,60.775535499997204,pen,1,1,56.62455879999834,59.78370089999953,60.77488539999831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2025-03-11_23h05.26.225,asymmetry_v13,2024.2.4,119.00695833801474,2025-03-11 23h05.30.244956 -0400,
