boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned,stim_rank
0.25,b=0.25,0.0476190485060215,0,0,0.0,0.16980444,0.0,0,-0.2023809514939785,-0.08019556105136871,1.5
0.25,b=0.25,0.0476190485060215,1,0,0.0,0.16980444,0.0,0,-0.2023809514939785,-0.08019556105136871,1.5
0.25,b=0.25,0.095238097012043,2,1,0.0,0.18294068,0.0,0,-0.154761902987957,-0.06705932319164276,3.5
0.25,b=0.25,0.095238097012043,3,1,0.0,0.18294068,0.0,0,-0.154761902987957,-0.06705932319164276,3.5
0.25,b=0.25,0.1428571492433548,4,2,0.0,0.1968522,0.0,0,-0.1071428507566452,-0.05314779281616211,5.5
0.25,b=0.25,0.1428571492433548,5,2,0.0,0.1968522,0.0,0,-0.1071428507566452,-0.05314779281616211,5.5
0.25,b=0.25,0.190476194024086,6,3,0.0,0.21154772,0.0,0,-0.059523805975914,-0.038452282547950745,7.5
0.25,b=0.25,0.190476194024086,7,3,0.0,0.21154772,0.0,0,-0.059523805975914,-0.038452282547950745,7.5
0.25,b=0.25,0.2380952388048172,8,4,0.0,0.2270302,0.0,0,-0.0119047611951828,-0.022969797253608704,9.5
0.25,b=0.25,0.2380952388048172,9,4,0.0,0.2270302,0.0,0,-0.0119047611951828,-0.022969797253608704,9.5
0.25,b=0.25,0.2857142984867096,10,5,1.0,0.2432961,0.0,0,0.035714298486709595,-0.006703898310661316,11.0
0.25,b=0.25,0.3333333432674408,11,6,1.0,0.2603349,1.0,0,0.0833333432674408,0.010334908962249756,12.0
0.25,b=0.25,0.380952388048172,12,7,1.0,0.27812842,1.0,0,0.130952388048172,0.02812841534614563,13.0
0.25,b=0.25,0.4285714328289032,13,8,1.0,0.29665032,1.0,0,0.1785714328289032,0.046650320291519165,14.0
0.25,b=0.25,0.4761904776096344,14,9,1.0,0.315866,1.0,0,0.2261904776096344,0.06586599349975586,15.0
0.25,b=0.25,0.523809552192688,15,10,1.0,0.33573222,1.0,0,0.273809552192688,0.08573222160339355,16.0
0.25,b=0.25,0.5714285969734192,16,11,1.0,0.35619736,1.0,0,0.3214285969734192,0.10619735717773438,17.0
0.25,b=0.25,0.6190476417541504,17,12,1.0,0.37720162,1.0,0,0.3690476417541504,0.1272016167640686,18.0
0.25,b=0.25,0.6666666865348816,18,13,1.0,0.39867744,1.0,0,0.4166666865348816,0.14867743849754333,19.0
0.25,b=0.25,0.7142857313156128,19,14,1.0,0.42055032,1.0,0,0.4642857313156128,0.17055031657218933,20.0
0.5,b=0.50,0.0476190485060215,0,0,0.0,0.29182935,0.0,0,-0.4523809514939785,-0.20817065238952637,1.0
0.5,b=0.50,0.095238097012043,1,1,0.0,0.31087068,0.0,0,-0.404761902987957,-0.1891293227672577,2.0
0.5,b=0.50,0.1428571492433548,2,2,0.0,0.3305746,0.0,0,-0.3571428507566452,-0.16942539811134338,3.0
0.5,b=0.50,0.190476194024086,3,3,0.0,0.3508914,0.0,0,-0.309523805975914,-0.14910858869552612,4.0
0.5,b=0.50,0.2380952388048172,4,4,0.0,0.37176344,0.0,0,-0.2619047611951828,-0.1282365620136261,5.0
0.5,b=0.50,0.2857142984867096,5,5,0.0,0.39312515,0.0,0,-0.2142857015132904,-0.10687485337257385,6.0
0.5,b=0.50,0.3333333432674408,6,6,0.0,0.41490358,0.0,0,-0.1666666567325592,-0.08509641885757446,7.0
0.5,b=0.50,0.380952388048172,7,7,0.0,0.43701974,0.0,0,-0.119047611951828,-0.06298026442527771,8.0
0.5,b=0.50,0.4285714328289032,8,8,0.0,0.45938912,0.0,0,-0.0714285671710968,-0.04061087965965271,9.0
0.5,b=0.50,0.4761904776096344,9,9,0.0,0.48192343,0.0,0,-0.0238095223903656,-0.018076568841934204,10.0
0.5,b=0.50,0.523809552192688,10,10,1.0,0.5045315,1.0,0,0.02380955219268799,0.004531502723693848,11.0
0.5,b=0.50,0.5714285969734192,11,11,1.0,0.52712107,1.0,0,0.07142859697341919,0.02712106704711914,12.0
0.5,b=0.50,0.6190476417541504,12,12,1.0,0.5496001,1.0,0,0.11904764175415039,0.04960012435913086,13.0
0.5,b=0.50,0.6666666865348816,13,13,1.0,0.57187843,1.0,0,0.1666666865348816,0.07187843322753906,14.0
0.5,b=0.50,0.7142857313156128,14,14,1.0,0.59386915,1.0,0,0.2142857313156128,0.093869149684906,15.0
0.5,b=0.50,0.761904776096344,15,15,1.0,0.6154897,1.0,0,0.261904776096344,0.11548972129821777,16.0
0.5,b=0.50,0.8095238208770752,16,16,1.0,0.6366635,1.0,0,0.3095238208770752,0.1366634964942932,17.0
0.5,b=0.50,0.8571428656578064,17,17,1.0,0.65732044,1.0,0,0.3571428656578064,0.15732043981552124,18.0
0.5,b=0.50,0.9047619104385376,18,18,1.0,0.67739815,1.0,0,0.4047619104385376,0.17739814519882202,19.0
0.5,b=0.50,0.9523809552192688,19,19,1.0,0.696842,1.0,0,0.4523809552192688,0.1968420147895813,20.0
0.75,b=0.75,0.2857142984867096,0,0,0.0,0.5661851,0.0,0,-0.4642857015132904,-0.1838148832321167,1.0
0.75,b=0.75,0.3333333432674408,1,1,0.0,0.58825773,0.0,0,-0.4166666567325592,-0.16174226999282837,2.0
0.75,b=0.75,0.380952388048172,2,2,0.0,0.6099809,0.0,0,-0.369047611951828,-0.14001911878585815,3.0
0.75,b=0.75,0.4285714328289032,3,3,0.0,0.63127625,0.0,0,-0.3214285671710968,-0.11872375011444092,4.0
0.75,b=0.75,0.4761904776096344,4,4,0.0,0.6520722,0.0,0,-0.2738095223903656,-0.09792780876159668,5.0
0.75,b=0.75,0.523809552192688,5,5,0.0,0.672304,0.0,0,-0.226190447807312,-0.07769602537155151,6.0
0.75,b=0.75,0.5714285969734192,6,6,0.0,0.6919153,0.0,0,-0.1785714030265808,-0.058084726333618164,7.0
0.75,b=0.75,0.6190476417541504,7,7,0.0,0.7108576,0.0,0,-0.1309523582458496,-0.03914237022399902,8.0
0.75,b=0.75,0.6666666865348816,8,8,0.0,0.72909135,0.0,0,-0.08333331346511841,-0.020908653736114502,9.0
0.75,b=0.75,0.7142857313156128,9,9,0.0,0.7465851,0.0,0,-0.03571426868438721,-0.003414928913116455,10.0
0.75,b=0.75,0.761904776096344,10,10,1.0,0.76331586,1.0,0,0.011904776096343994,0.013315856456756592,11.5
0.75,b=0.75,0.761904776096344,11,10,1.0,0.76331586,1.0,0,0.011904776096343994,0.013315856456756592,11.5
0.75,b=0.75,0.8095238208770752,12,11,1.0,0.77642053,1.0,0,0.059523820877075195,0.026420533657073975,13.5
0.75,b=0.75,0.8095238208770752,13,11,1.0,0.77642053,1.0,0,0.059523820877075195,0.026420533657073975,13.5
0.75,b=0.75,0.8571428656578064,14,12,1.0,0.7845704,1.0,0,0.1071428656578064,0.034570395946502686,15.5
0.75,b=0.75,0.8571428656578064,15,12,1.0,0.7845704,1.0,0,0.1071428656578064,0.034570395946502686,15.5
0.75,b=0.75,0.9047619104385376,16,13,1.0,0.7924345,1.0,0,0.1547619104385376,0.042434513568878174,17.5
0.75,b=0.75,0.9047619104385376,17,13,1.0,0.7924345,1.0,0,0.1547619104385376,0.042434513568878174,17.5
0.75,b=0.75,0.9523809552192688,18,14,1.0,0.7970774,1.0,0,0.2023809552192688,0.04707741737365723,19.5
0.75,b=0.75,0.9523809552192688,19,14,1.0,0.7970774,1.0,0,0.2023809552192688,0.04707741737365723,19.5
0.25,b=0.25,0.0476190485060215,0,0,0.0,0.18437326,0.0,1,-0.2023809514939785,-0.06562674045562744,1.5
