shape_order,sess_type,final_pos_orig,final_pos
curv_flat,A,-0.046,-0.046
curv_flat,A,0.103,0.103
flat_curv,A,0.188,-0.188
flat_curv,A,0.028,-0.028
flat_curv,A,0.199,-0.199
flat_curv,A,-0.156,0.156
flat_curv,A,-0.02,0.02
flat_curv,A,0.05,-0.05
flat_curv,A,-0.372,0.372
curv_flat,A,-0.356,-0.356
flat_curv,A,0.353,-0.353
flat_curv,A,-0.052,0.052
flat_curv,A,0.066,-0.066
flat_curv,A,-0.034,0.034
flat_curv,A,-0.304,0.304
curv_flat,A,0.011,0.011
curv_flat,A,-0.068,-0.068
curv_flat,A,-0.393,-0.393
flat_curv,A,0.071,-0.071
curv_flat,A,0.331,0.331
curv_flat,A,0.382,0.382
curv_flat,A,-0.006,-0.006
curv_flat,A,-0.118,-0.118
curv_flat,A,0.037,0.037
curv_flat,A,0.094,0.094
flat_curv,A,-0.005,0.005
curv_flat,A,0.046,0.046
curv_flat,A,-0.349,-0.349
flat_curv,A,0.377,-0.377
curv_flat,A,-0.162,-0.162
flat_curv,A,0.059,-0.059
flat_curv,A,-0.211,0.211
flat_curv,A,-0.089,0.089
flat_curv,A,0.079,-0.079
curv_flat,A,0.097,0.097
curv_flat,A,-0.115,-0.115
curv_flat,A,0.034,0.034
curv_flat,A,-0.301,-0.301
flat_curv,A,-0.214,0.214
curv_flat,A,0.296,0.296
flat_curv,A,-0.059,0.059
curv_flat,A,-0.267,-0.267
curv_flat,A,-0.097,-0.097
flat_curv,A,-0.2,0.2
flat_curv,A,-0.088,0.088
flat_curv,A,0.312,-0.312
curv_flat,A,-0.267,-0.267
curv_flat,A,-0.248,-0.248
curv_flat,A,-0.104,-0.104
flat_curv,A,0.132,-0.132
flat_curv,A,0.143,-0.143
curv_flat,A,-0.285,-0.285
flat_curv,A,0.053,-0.053
curv_flat,A,-0.237,-0.237
flat_curv,A,0.122,-0.122
flat_curv,A,0.28,-0.28
flat_curv,A,0.017,-0.017
curv_flat,A,-0.124,-0.124
flat_curv,A,0.258,-0.258
curv_flat,A,-0.126,-0.126
curv_flat,A,-0.235,-0.235
curv_flat,A,-0.185,-0.185
curv_flat,A,-0.266,-0.266
flat_curv,A,0.17,-0.17
flat_curv,A,-0.044,0.044
flat_curv,A,0.052,-0.052
flat_curv,A,0.14,-0.14
flat_curv,A,0.238,-0.238
flat_curv,A,0.238,-0.238
curv_flat,A,-0.255,-0.255
curv_flat,A,-0.4,-0.4
curv_flat,A,0.103,0.103
curv_flat,A,-0.162,-0.162
flat_curv,A,-0.036,0.036
curv_flat,A,0.249,0.249
curv_flat,A,-0.262,-0.262
flat_curv,A,0.127,-0.127
flat_curv,A,0.265,-0.265
curv_flat,A,-0.226,-0.226
curv_flat,A,0.143,0.143
flat_curv,A,-0.123,0.123
curv_flat,A,0.184,0.184
flat_curv,A,-0.125,0.125
