thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,no_resp_text.stopped,Mcoin.stopped,Mcross.stopped,feedback.stopped,valence,correct,outcome,Lcoin.started,Rcoin.started,Lcoin.stopped,Rcoin.stopped,Lcross.started,Rcross.started,Lcross.stopped,Rcross.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,26,2.7,0.14,3.0,0.2893184961863759,flat,curv_flat,0.0,0.14,rew,pen,input_data/stims/Shape_2.70_3.00.png,input_data/stims/Shape_0.00_3.00.png,input_data/stims/Shape_4.00_3.00.png,up,1.0443812999874353,None,None,None,['left'],[0.47076260001631454],[0.8029054999933578],up,1.4116064999834634,None,0,0,0,0,0,0,0,26,1.1378553000395186,,0.040330099989660084,0.05776950001018122,0.05776950001018122,1.1072626000386663,up,1.0443812999874353,None,1.135335800005123,0.028046399995218962,2.228728600020986,2.2288438000250608,2.2720583000336774,3.2839247999945655,3.275612600031309,3.2758889000397176,0.00028410000959411263,4.667971800023224,4.669875800027512,4.75314879999496,4.75314879999496,4.75314879999496,4.75314879999496,4.75314879999496,4.75314879999496,4.75314879999496,6.167496700014453,"[0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.289, 0.285, 0.281, 0.277, 0.273, 0.269, 0.265, 0.261, 0.257, 0.253, 0.249, 0.245, 0.241, 0.237, 0.233, 0.229, 0.225, 0.221, 0.217, 0.213, 0.209, 0.205, 0.201, 0.197, 0.193, 0.189, 0.185, 0.181, 0.177, 0.173, 0.169, 0.165, 0.161, 0.157, 0.153, 0.149, 0.145, 0.141, 0.137, 0.133, 0.129, 0.125, 0.121, 0.117, 0.113, 0.109, 0.105, 0.101, 0.097, 0.093, 0.089, 0.085, 0.081, 0.077, 0.073, 0.069, 0.065, 0.061, 0.057, 0.053, 0.049, 0.045, 0.041, 0.037, 0.033, 0.029, 0.025, 0.021, 0.017, 0.013, 0.009, 0.005, 0.001, -0.003, -0.007, -0.011, -0.015, -0.019, -0.023, -0.027, -0.031, -0.035, -0.039, -0.043, -0.047, -0.051, -0.055, -0.059, -0.063, -0.067, -0.071, -0.075, -0.079, -0.083, -0.087, -0.091, -0.095, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099, -0.099]",None,None,['left'],[0.47076260001631454],[0.8029054999933578],up,1.4116064999834634,None,6.167743100028019,6.174309200025164,6.42491699999664,6.418373099993914,6.418607500032522,6.42491699999664,6.42491699999664,6.42491699999664,7.423598400026094,7.423598400026094,7.423598400026094,7.416819800040685,rew,0,-1,,,,,,,,,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
1,1,0,1,1,baseline,32,3.3,0.26,3.0,-0.1038439477653105,flat,curv_flat,0.0,0.26,rew,pen,input_data/stims/Shape_3.30_3.00.png,input_data/stims/Shape_0.00_3.00.png,input_data/stims/Shape_4.00_3.00.png,up,1.0443812999874353,None,None,None,['right'],[0.3609981000190601],[0.36981149995699525],up,0.9677869000006467,None,0,0,0,0,0,1,1,32,7.423598400026094,,,,,,,,,7.417233099986333,0.0003969999961555004,8.459943299996667,8.460055900039151,8.481260900036432,9.4907125000027,9.482873400032986,9.483051399991382,0.00018199998885393143,10.82537279999815,10.827201000007335,10.877191100036725,10.877191100036725,10.877191100036725,10.877191100036725,10.877191100036725,10.877191100036725,10.877191100036725,11.850248200003989,"[-0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.104, -0.1, -0.096, -0.092, -0.088, -0.084, -0.08, -0.076, -0.072, -0.068, -0.064, -0.06, -0.056, -0.052, -0.048, -0.044, -0.04, -0.036, -0.032, -0.028, -0.024, -0.02, -0.016, -0.012, -0.008, -0.004, 0.0, 0.004, 0.008, 0.012, 0.016, 0.02, 0.024, 0.028, 0.032, 0.036, 0.04, 0.044, 0.048, 0.052, 0.056, 0.06, 0.064, 0.068, 0.072, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076]",None,None,['right'],[0.3609981000190601],[0.36981149995699525],up,0.9677869000006467,None,11.850548100017477,11.856910600035917,12.110235100029968,12.100366200029384,12.100478900014423,12.110235100029968,,,13.106935599993449,,,13.100162899994757,rew,1,2,12.110235100029968,12.110235100029968,13.106935599993449,13.106935599993449,,,,,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
2,2,0,1,1,baseline,35,3.5,0.3,3.0,0.1115643474216966,flat,flat_curv,0.0,-0.3,rew,pen,input_data/stims/Shape_3.50_3.00.png,input_data/stims/Shape_4.00_3.00.png,input_data/stims/Shape_0.00_3.00.png,up,1.0443812999874353,None,None,None,['left'],[0.36690949997864664],[0.5803138000192121],up,1.0860078999539837,None,0,0,0,0,0,2,2,35,13.106935599993449,,,,,,,,,13.100596000032965,0.00042050000047311187,13.992755000013858,13.992849600035697,14.00833630003035,15.00740910001332,15.001476600009482,15.00180620001629,0.00035089999437332153,16.294282499991823,16.29606750002131,16.324049399991054,16.324049399991054,16.324049399991054,16.324049399991054,16.324049399991054,16.324049399991054,16.324049399991054,17.41666799999075,"[0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.108, 0.104, 0.1, 0.096, 0.092, 0.088, 0.084, 0.08, 0.076, 0.072, 0.068, 0.064, 0.06, 0.056, 0.052, 0.048, 0.044, 0.04, 0.036, 0.032, 0.028, 0.024, 0.02, 0.016, 0.012, 0.008, 0.004, 0.0, -0.004, -0.008, -0.012, -0.016, -0.02, -0.024, -0.028, -0.032, -0.036, -0.04, -0.044, -0.048, -0.052, -0.056, -0.06, -0.064, -0.068, -0.072, -0.076, -0.08, -0.084, -0.088, -0.092, -0.096, -0.1, -0.104, -0.108, -0.112, -0.116, -0.12, -0.124, -0.128, -0.132, -0.136, -0.14, -0.144, -0.148, -0.152, -0.156, -0.16, -0.164, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168]",None,None,['left'],[0.36690949997864664],[0.5803138000192121],up,1.0860078999539837,None,17.416891200002283,17.423438400030136,17.67339130002074,17.666784700006247,17.666859699995257,17.67339130002074,,,18.673736100026872,,,18.66957430000184,rew,1,2,17.67339130002074,17.67339130002074,18.673736100026872,18.673736100026872,,,,,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
3,3,0,1,1,baseline,4,0.5,-0.3,1.0,-0.0978510444605845,curv,curv_flat,0.0,-0.3,pen,rew,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_0.00_1.00.png,input_data/stims/Shape_4.00_1.00.png,up,1.0443812999874353,None,None,None,['right'],[0.3353355000144802],[0.3622973999590613],up,0.8718283000052907,None,0,0,0,0,0,3,3,4,18.673736100026872,,,,,,,,,18.67000410001492,0.00041450001299381256,19.612135500006843,19.61224490002496,19.62866570003098,20.62410010001622,20.617482500034384,20.617716900014784,0.00024369999300688505,21.91016239998862,21.912554100039415,21.939673600019887,21.939673600019887,21.939673600019887,21.939673600019887,21.939673600019887,21.939673600019887,21.939673600019887,22.81649820000166,"[-0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.098, -0.094, -0.09, -0.086, -0.082, -0.078, -0.074, -0.07, -0.066, -0.062, -0.058, -0.054, -0.05, -0.046, -0.042, -0.038, -0.034, -0.03, -0.026, -0.022, -0.018, -0.014, -0.01, -0.006, -0.002, 0.002, 0.006, 0.01, 0.014, 0.018, 0.022, 0.026, 0.03, 0.034, 0.038, 0.042, 0.046, 0.05, 0.054, 0.058, 0.062, 0.066, 0.07, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074]",None,None,['right'],[0.3353355000144802],[0.3622973999590613],up,0.8718283000052907,None,22.816711999999825,22.823652899998706,23.07411950000096,23.067322999995667,23.067413899989333,23.07411950000096,,,24.073848400032148,,,24.06883150001522,pen,0,-2,23.07411950000096,23.07411950000096,24.073848400032148,24.073848400032148,23.07411950000096,23.07411950000096,24.073848400032148,24.073848400032148,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
4,4,0,1,1,baseline,24,2.5,0.1,3.0,-0.3298490457969942,flat,curv_flat,0.0,0.1,rew,pen,input_data/stims/Shape_2.50_3.00.png,input_data/stims/Shape_0.00_3.00.png,input_data/stims/Shape_4.00_3.00.png,up,1.0443812999874353,None,None,None,['right'],[0.5583207000163384],[0.33036670001456514],up,1.0803949999972247,None,0,0,0,0,0,4,4,24,24.073848400032148,,,,,,,,,24.06938609998906,0.0005353999440558255,25.112331599986646,25.112412500020582,25.127201199997216,26.12531090003904,26.11568490002537,26.115908200037666,0.00019430002430453897,27.408358999993652,27.410263500001747,27.43821210000897,27.43821210000897,27.43821210000897,27.43821210000897,27.43821210000897,27.43821210000897,27.43821210000897,28.523832400038373,"[-0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.33, -0.326, -0.322, -0.318, -0.314, -0.31, -0.306, -0.302, -0.298, -0.294, -0.29, -0.286, -0.282, -0.278, -0.274, -0.27, -0.266, -0.262, -0.258, -0.254, -0.25, -0.246, -0.242, -0.238, -0.234, -0.23, -0.226, -0.222, -0.218, -0.214, -0.21, -0.206, -0.202, -0.198, -0.194, -0.19, -0.186, -0.182, -0.178, -0.174, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17, -0.17]",None,None,['right'],[0.5583207000163384],[0.33036670001456514],up,1.0803949999972247,None,28.52407000004314,28.53248380002333,28.782893600000534,28.773554700019304,28.7736969999969,28.782893600000534,28.782893600000534,28.782893600000534,29.78269210003782,29.78269210003782,29.78269210003782,29.773032400000375,rew,0,-1,,,,,,,,,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
5,5,0,1,1,baseline,13,1.3,-0.14,1.0,-0.2008022082184656,curv,flat_curv,0.0,0.14,pen,rew,input_data/stims/Shape_1.30_1.00.png,input_data/stims/Shape_4.00_1.00.png,input_data/stims/Shape_0.00_1.00.png,up,1.0443812999874353,None,None,None,['right'],[0.5793974000262097],[0.18670119997113943],up,0.9667899000342004,None,0,0,0,0,0,5,5,13,29.78269210003782,,,,,,,,,29.77335650002351,0.0003162999637424946,30.866327700030524,30.86643739999272,30.88227260002168,31.89020960003836,31.88494640000863,31.885288499994203,0.0003638000343926251,33.327244099986274,33.3319244000013,33.35843800002476,33.35843800002476,33.35843800002476,33.35843800002476,33.35843800002476,33.35843800002476,33.35843800002476,34.33229290001327,"[-0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.201, -0.197, -0.193, -0.189, -0.185, -0.181, -0.177, -0.173, -0.169, -0.165, -0.161, -0.157, -0.153, -0.149, -0.145, -0.141, -0.137, -0.133, -0.129, -0.125, -0.121, -0.117, -0.113, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109, -0.109]",None,None,['right'],[0.5793974000262097],[0.18670119997113943],up,0.9667899000342004,None,34.33259740000358,34.33881280000787,34.58930230000988,34.582539900031406,34.58261230000062,34.58930230000988,,,35.589987399987876,,,35.58361560001504,pen,0,-2,34.58930230000988,34.58930230000988,35.589987399987876,35.589987399987876,34.58930230000988,34.58930230000988,35.589987399987876,35.589987399987876,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
6,6,0,1,1,baseline,6,0.7,-0.26,1.0,0.1827851400401245,curv,curv_flat,0.0,-0.26,pen,rew,input_data/stims/Shape_0.70_1.00.png,input_data/stims/Shape_0.00_1.00.png,input_data/stims/Shape_4.00_1.00.png,up,1.0443812999874353,None,None,None,['left'],[0.446293999964837],[0.21676860004663467],up,0.8866761999670416,None,0,0,0,0,0,6,6,6,35.589987399987876,,,,,,,,,35.58405240002321,0.0004228000179864466,36.52772380004171,36.52780859998893,36.5424931999878,37.54124960000627,37.53198460000567,37.53220070002135,0.00018119998276233673,38.8247776000062,38.82659439998679,38.854127200029325,38.854127200029325,38.854127200029325,38.854127200029325,38.854127200029325,38.854127200029325,38.854127200029325,39.74916900001699,"[0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.183, 0.179, 0.175, 0.171, 0.167, 0.163, 0.159, 0.155, 0.151, 0.147, 0.143, 0.139, 0.135, 0.131, 0.127, 0.123, 0.119, 0.115, 0.111, 0.107, 0.103, 0.099, 0.095, 0.091, 0.087, 0.083, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079, 0.079]",None,None,['left'],[0.446293999964837],[0.21676860004663467],up,0.8866761999670416,None,39.74938170000678,39.75554640003247,40.00755959999515,39.99976750003407,39.99985070002731,40.00755959999515,,,41.00682750000851,,,40.99964280001586,pen,0,-2,40.00755959999515,40.00755959999515,41.00682750000851,41.00682750000851,40.00755959999515,40.00755959999515,41.00682750000851,41.00682750000851,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
7,7,0,1,1,baseline,10,1.1,-0.18,1.0,0.2748292706084458,curv,curv_flat,0.0,-0.18,pen,rew,input_data/stims/Shape_1.10_1.00.png,input_data/stims/Shape_0.00_1.00.png,input_data/stims/Shape_4.00_1.00.png,up,1.0443812999874353,None,None,None,['left'],[0.5613843000028282],[0.3804590000072494],up,1.1096101999864914,None,0,0,0,0,0,7,7,10,41.00682750000851,,,,,,,,,41.00009919999866,0.00044870004057884216,42.094008199987,42.09416750003584,42.11036520003108,43.117568999994546,43.10603790002642,43.10618780000368,0.0001487999688833952,44.44887610001024,44.45118309999816,44.47936420002952,44.47936420002952,44.47936420002952,44.47936420002952,44.47936420002952,44.47936420002952,44.47936420002952,45.598777700040955,"[0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.271, 0.267, 0.263, 0.259, 0.255, 0.251, 0.247, 0.243, 0.239, 0.235, 0.231, 0.227, 0.223, 0.219, 0.215, 0.211, 0.207, 0.203, 0.199, 0.195, 0.191, 0.187, 0.183, 0.179, 0.175, 0.171, 0.167, 0.163, 0.159, 0.155, 0.151, 0.147, 0.143, 0.139, 0.135, 0.131, 0.127, 0.123, 0.119, 0.115, 0.111, 0.107, 0.103, 0.099, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095, 0.095]",None,None,['left'],[0.5613843000028282],[0.3804590000072494],up,1.1096101999864914,None,45.59900960000232,45.60577140003443,45.855956999992486,45.84921330003999,45.84937710000668,45.855956999992486,,,46.85682980000274,,,46.84961500001373,pen,0,-2,45.855956999992486,45.855956999992486,46.85682980000274,46.85682980000274,45.855956999992486,45.855956999992486,46.85682980000274,46.85682980000274,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
8,8,0,1,1,baseline,16,1.7,-0.06,1.0,-0.035000573494796,curv,curv_flat,0.0,-0.06,pen,rew,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_0.00_1.00.png,input_data/stims/Shape_4.00_1.00.png,up,1.0443812999874353,None,None,None,['left'],[0.7431914000189863],[0.28421589999925345],up,1.2786288000061177,None,0,0,0,0,0,8,8,16,46.85682980000274,,,,,,,,,46.85005240002647,0.0004202999989502132,47.942031499987934,47.94213800004218,47.95720090001123,48.95594270003494,48.948347400000785,48.94855610001832,0.00021989998640492558,50.441047100001015,50.44322780001676,50.4701598000247,50.4701598000247,50.4701598000247,50.4701598000247,50.4701598000247,50.4701598000247,50.4701598000247,51.752330599993,"[-0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.035, -0.039, -0.043, -0.047, -0.051, -0.055, -0.059, -0.063, -0.067, -0.071, -0.075, -0.079, -0.083, -0.087, -0.091, -0.095, -0.099, -0.103, -0.107, -0.111, -0.115, -0.119, -0.123, -0.127, -0.131, -0.135, -0.139, -0.143, -0.147, -0.151, -0.155, -0.159, -0.163, -0.167, -0.171, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175, -0.175]",None,None,['left'],[0.7431914000189863],[0.28421589999925345],up,1.2786288000061177,None,51.75263420003466,51.75626510003349,52.00811540003633,51.99818590003997,51.99829840002349,52.00811540003633,52.00811540003633,,53.00637600000482,53.00637600000482,,52.999356299987994,pen,1,1,,,,,,,,,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
9,9,0,1,1,baseline,14,1.5,-0.1,1.0,0.3658724173834353,curv,curv_flat,0.0,-0.1,pen,rew,input_data/stims/Shape_1.50_1.00.png,input_data/stims/Shape_0.00_1.00.png,input_data/stims/Shape_4.00_1.00.png,up,1.0443812999874353,None,None,None,['left'],[0.4328331000288017],[0.5371417999849655],up,1.1777588999830186,None,0,0,0,0,0,9,9,14,53.00637600000482,,,,,,,,,52.99974530003965,0.0003752000047825277,53.99253510002745,53.99264030001359,54.00696219998645,55.005844000028446,54.998472500010394,54.99865399999544,0.00018089998047798872,56.49184440000681,56.4940762000042,56.52092109998921,56.52092109998921,56.52092109998921,56.52092109998921,56.52092109998921,56.52092109998921,56.52092109998921,57.70085060002748,"[0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.366, 0.362, 0.358, 0.354, 0.35, 0.346, 0.342, 0.338, 0.334, 0.33, 0.326, 0.322, 0.318, 0.314, 0.31, 0.306, 0.302, 0.298, 0.294, 0.29, 0.286, 0.282, 0.278, 0.274, 0.27, 0.266, 0.262, 0.258, 0.254, 0.25, 0.246, 0.242, 0.238, 0.234, 0.23, 0.226, 0.222, 0.218, 0.214, 0.21, 0.206, 0.202, 0.198, 0.194, 0.19, 0.186, 0.182, 0.178, 0.174, 0.17, 0.166, 0.162, 0.158, 0.154, 0.15, 0.146, 0.142, 0.138, 0.134, 0.13, 0.126, 0.122, 0.118, 0.114, 0.11, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106, 0.106]",None,None,['left'],[0.4328331000288017],[0.5371417999849655],up,1.1777588999830186,None,57.70116160000907,57.70513940003002,57.95626649999758,57.94893429998774,57.9490184999886,57.95626649999758,,,58.9581016000011,,,58.94939349999186,pen,0,-2,57.95626649999758,57.95626649999758,58.9581016000011,58.9581016000011,57.95626649999758,57.95626649999758,58.9581016000011,58.9581016000011,,C,2025-03-17_20h23.00.393,asymmetry_frames_nocsv,2024.2.4,120,2025-03-17 20h23.03.725291 -0400,
