boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,PC1,PC2,PC3
0.25,b=0.25,0.0476190485060215,0,0,0.0,-0.28177968,0.002320692,0.01875574
0.25,b=0.25,0.0476190485060215,1,0,0.0,-0.28177965,0.0023206288,0.018755727
0.25,b=0.25,0.095238097012043,2,1,0.0,-0.2755916,-0.0014934064,0.010306407
0.25,b=0.25,0.095238097012043,3,1,0.0,-0.2755916,-0.0014933734,0.010306415
0.25,b=0.25,0.1428571492433548,4,2,0.0,-0.2646719,-0.0044773873,0.0043355217
0.25,b=0.25,0.1428571492433548,5,2,0.0,-0.2646719,-0.004477388,0.0043355227
0.25,b=0.25,0.190476194024086,6,3,0.0,-0.24775752,-0.008262632,0.0009879995
0.25,b=0.25,0.190476194024086,7,3,0.0,-0.24775752,-0.008262634,0.0009879993
0.25,b=0.25,0.2380952388048172,8,4,0.0,-0.22850156,-0.012924414,-0.0017687783
0.25,b=0.25,0.2380952388048172,9,4,0.0,-0.22850156,-0.012924414,-0.0017687784
0.25,b=0.25,0.2857142984867096,10,5,1.0,-0.20716514,-0.017319761,-0.003940308
0.25,b=0.25,0.3333333432674408,11,6,1.0,-0.18465616,-0.02298618,-0.0041112653
0.25,b=0.25,0.380952388048172,12,7,1.0,-0.16200309,-0.028784325,-0.0041513774
0.25,b=0.25,0.4285714328289032,13,8,1.0,-0.13935006,-0.034582447,-0.004191475
0.25,b=0.25,0.4761904776096344,14,9,1.0,-0.116697066,-0.040380646,-0.004231575
0.25,b=0.25,0.523809552192688,15,10,1.0,-0.09404399,-0.04617882,-0.004271697
0.25,b=0.25,0.5714285969734192,16,11,1.0,-0.07124836,-0.05199546,-0.004268982
0.25,b=0.25,0.6190476417541504,17,12,1.0,-0.04811161,-0.057856407,-0.0041636587
0.25,b=0.25,0.6666666865348816,18,13,1.0,-0.02497493,-0.06371737,-0.004058427
0.25,b=0.25,0.7142857313156128,19,14,1.0,-0.0015067995,-0.06910214,-0.0038079163
0.5,b=0.50,0.0476190485060215,0,0,0.0,-0.21335793,0.053071175,-0.0034290282
0.5,b=0.50,0.095238097012043,1,1,0.0,-0.19320546,0.048698902,-0.004225312
0.5,b=0.50,0.1428571492433548,2,2,0.0,-0.17161751,0.04351549,-0.0041304072
0.5,b=0.50,0.190476194024086,3,3,0.0,-0.14980796,0.038140062,-0.0039370963
0.5,b=0.50,0.2380952388048172,4,4,0.0,-0.12763523,0.032479107,-0.003865959
0.5,b=0.50,0.2857142984867096,5,5,0.0,-0.10546242,0.026818095,-0.0037949209
0.5,b=0.50,0.3333333432674408,6,6,0.0,-0.08328963,0.02115703,-0.0037237366
0.5,b=0.50,0.380952388048172,7,7,0.0,-0.06111688,0.015496092,-0.003652636
0.5,b=0.50,0.4285714328289032,8,8,0.0,-0.038837817,0.0098297605,-0.0036007066
0.5,b=0.50,0.4761904776096344,9,9,0.0,-0.016338294,0.004152154,-0.0035885035
0.5,b=0.50,0.523809552192688,10,10,1.0,0.006562124,-0.0015775117,-0.0034558256
0.5,b=0.50,0.5714285969734192,11,11,1.0,0.029545363,-0.0073178983,-0.003298239
0.5,b=0.50,0.6190476417541504,12,12,1.0,0.052528635,-0.01305828,-0.0031406875
0.5,b=0.50,0.6666666865348816,13,13,1.0,0.075511865,-0.01879867,-0.0029831377
0.5,b=0.50,0.7142857313156128,14,14,1.0,0.09844229,-0.024580717,-0.0025613357
0.5,b=0.50,0.761904776096344,15,15,1.0,0.12132033,-0.030568244,-0.0013920331
0.5,b=0.50,0.8095238208770752,16,16,1.0,0.1446519,-0.03590394,-2.3865105e-05
0.5,b=0.50,0.8571428656578064,17,17,1.0,0.16809422,-0.041154496,0.0013456598
0.5,b=0.50,0.9047619104385376,18,18,1.0,0.19191289,-0.046192296,0.0026704483
0.5,b=0.50,0.9523809552192688,19,19,1.0,0.21661943,-0.050306782,0.0043478524
0.75,b=0.75,0.2857142984867096,0,0,0.0,-0.00022208765,0.06792513,-0.00066267984
0.75,b=0.75,0.3333333432674408,1,1,0.0,0.021765355,0.062471967,-0.0008967387
0.75,b=0.75,0.380952388048172,2,2,0.0,0.043752715,0.057018783,-0.0011308838
0.75,b=0.75,0.4285714328289032,3,3,0.0,0.065915436,0.051542792,-0.001312281
0.75,b=0.75,0.4761904776096344,4,4,0.0,0.08836578,0.046016775,-0.0013160392
0.75,b=0.75,0.523809552192688,5,5,0.0,0.110809624,0.04048746,-0.0012927518
0.75,b=0.75,0.5714285969734192,6,6,0.0,0.13325348,0.034958158,-0.0012694361
0.75,b=0.75,0.6190476417541504,7,7,0.0,0.15589087,0.029419031,-0.0012810236
0.75,b=0.75,0.6666666865348816,8,8,0.0,0.17866156,0.023873203,-0.0013165821
0.75,b=0.75,0.7142857313156128,9,9,0.0,0.20126699,0.01827874,-0.0005176291
0.75,b=0.75,0.761904776096344,10,10,1.0,0.22391468,0.01280122,0.0005703342
0.75,b=0.75,0.761904776096344,11,10,1.0,0.22391468,0.01280122,0.0005703342
0.75,b=0.75,0.8095238208770752,12,11,1.0,0.24656229,0.0073237084,0.0016582642
0.75,b=0.75,0.8095238208770752,13,11,1.0,0.24656229,0.0073237084,0.0016582642
0.75,b=0.75,0.8571428656578064,14,12,1.0,0.26930672,0.001984343,0.002788529
0.75,b=0.75,0.8571428656578064,15,12,1.0,0.26930672,0.001984343,0.002788529
0.75,b=0.75,0.9047619104385376,16,13,1.0,0.2928447,-0.0026343544,0.004383291
0.75,b=0.75,0.9047619104385376,17,13,1.0,0.2928447,-0.0026343544,0.004383291
0.75,b=0.75,0.9523809552192688,18,14,1.0,0.31856117,-0.0061330744,0.0072995587
0.75,b=0.75,0.9523809552192688,19,14,1.0,0.31856117,-0.0061330744,0.0072995587
