thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,valence,correct,outcome,one_coin.started,one_coin.stopped,one_cross.started,one_cross.stopped,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,21,2.1,0.02,3.0,-0.076,flat,flat_curv,0.0,-0.02,rew,pen,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,34.54545689999986,None,None,None,['left'],[1.009684599999673],[0.5919097000000875],up,2.0096120999996856,None,0,0,0,0,0,0,0,21,34.616706799999974,,0.019159899999976915,0.024511699999948178,0.024511699999948178,34.58353560000023,up,34.54545689999986,None,34.60445680000021,0.020908099999815022,35.48934020000024,35.48965660000022,35.50044170000001,36.50006389999999,36.48352380000006,36.48390380000001,0.00038799999992988887,37.96786460000021,37.969382600000245,37.98428809999996,37.98428809999996,37.98428809999996,37.98428809999996,37.98428809999996,37.98428809999996,37.98428809999996,40.00109909999992,"[-0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.252, -0.26, -0.268, -0.276, -0.284, -0.292, -0.3, -0.308, -0.316, -0.324, -0.332, -0.34, -0.348, -0.356, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364, -0.364]",None,None,['left'],[1.009684599999673],[0.5919097000000875],up,2.0096120999996856,None,40.001473499999975,40.01684820000037,40.266833099999985,40.250283800000034,40.25061780000033,40.266833099999985,40.266833099999985,41.2668407000001,41.2668407000001,41.250329599999986,rew,1,3,,,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
1,1,0,1,1,baseline,35,3.5,0.3,3.0,0.048,flat,flat_curv,0.0,-0.3,rew,pen,input_data/stims/Shape_3.50_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,34.54545689999986,None,None,None,['left'],[0.5263525999998819],[0.8319347999999991],up,1.5422702000000754,None,0,0,0,0,0,1,1,35,41.2668407000001,,,,,,,,,41.250906600000235,0.0005774000001110835,42.23455650000005,42.23522200000025,42.25023760000022,43.250247800000125,43.23370010000008,43.23407240000006,0.0003812999998444866,44.66921540000021,44.67064299999993,44.68363550000004,44.68363550000004,44.68363550000004,44.68363550000004,44.68363550000004,44.68363550000004,44.68363550000004,46.234718200000316,"[0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.264, -0.272, -0.28, -0.288, -0.296, -0.304, -0.312, -0.32, -0.328, -0.336, -0.344, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352, -0.352]",None,None,['left'],[0.5263525999998819],[0.8319347999999991],up,1.5422702000000754,None,46.23510310000029,46.25033100000019,46.50033660000008,46.48377890000029,46.48411660000011,46.50033660000008,46.50033660000008,47.50037539999994,47.50037539999994,47.48382900000024,rew,1,3,,,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
2,2,0,1,1,baseline,26,2.7,0.14,3.0,0.204,flat,curv_flat,0.0,0.14,rew,pen,input_data/stims/Shape_2.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,34.54545689999986,None,None,None,"['left', 'right']","[0.7607438999998521, 1.1607187999998132]","[0.19991440000012517, 0.36801759999980277]",up,2.048781699999836,None,0,0,0,0,0,2,2,26,47.50037539999994,,,,,,,,,47.484360599999945,0.000532799999746203,48.370060100000046,48.37065990000019,48.38372759999993,49.38374840000006,49.3671717000002,49.36757200000011,0.00040930000022854074,50.802965900000345,50.80432860000019,50.81714580000016,50.81714580000016,50.81714580000016,50.81714580000016,50.81714580000016,50.81714580000016,50.81714580000016,52.868120999999974,"[0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.204, 0.196, 0.188, 0.18, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.252, 0.26, 0.268, 0.276, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284, 0.284]",None,None,"['left', 'right']","[0.7607438999998521, 1.1607187999998132]","[0.19991440000012517, 0.36801759999980277]",up,2.048781699999836,None,52.868498700000146,52.88385860000017,53.133850800000346,53.11730590000025,53.11763090000022,53.133850800000346,53.133850800000346,54.133887100000265,54.133887100000265,54.11736659999997,rew,1,3,,,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
3,3,0,1,1,baseline,5,0.5,-0.3,1.0,-0.016,curv,flat_curv,0.0,0.3,pen,rew,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,34.54545689999986,None,None,None,['right'],[0.7411997999997766],[0.6240149000000201],up,1.605214899999737,None,0,0,0,0,0,3,3,5,54.133887100000265,,,,,,,,,54.11789630000021,0.0005296000003909285,55.20176900000024,55.20211120000022,55.21725430000015,56.21727869999995,56.200704900000346,56.20108250000021,0.00038600000016231206,57.684797300000355,57.68606170000021,57.700679700000364,57.700679700000364,57.700679700000364,57.700679700000364,57.700679700000364,57.700679700000364,57.700679700000364,59.31827360000034,"[-0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.088, 0.096, 0.104, 0.112, 0.12, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.232, 0.24, 0.248, 0.256, 0.264, 0.272, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",None,None,['right'],[0.7411997999997766],[0.6240149000000201],up,1.605214899999737,None,59.31864889999997,59.334018600000036,59.584023300000354,59.567453600000135,59.56778310000027,59.584023300000354,,60.58405010000024,,60.56749940000009,pen,1,1,59.584023300000354,60.58405010000024,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
4,4,0,1,1,baseline,37,3.7,0.34,3.0,-0.136,flat,flat_curv,0.0,-0.34,rew,pen,input_data/stims/Shape_3.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,34.54545689999986,None,None,None,['left'],[0.6091010000000097],[0.3520245999998224],up,1.3610748000000967,None,0,0,0,0,0,4,4,37,60.58405010000024,,,,,,,,,60.56802360000029,0.0005215999999563792,61.65201950000028,61.65241670000023,61.6674052000003,62.66738329999998,62.65088770000011,62.651273800000126,0.00039540000034321565,63.98654280000028,63.98776190000035,64.00082330000032,64.00082330000032,64.00082330000032,64.00082330000032,64.00082330000032,64.00082330000032,64.00082330000032,65.36847810000017,"[-0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.264, -0.272, -0.28, -0.288, -0.296, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304, -0.304]",None,None,['left'],[0.6091010000000097],[0.3520245999998224],up,1.3610748000000967,None,65.36884980000013,65.38421580000022,65.63419770000019,65.61763960000008,65.61798829999998,65.63419770000019,65.63419770000019,66.6342136000003,66.6342136000003,66.61766190000026,rew,1,3,,,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
5,5,0,1,1,baseline,30,3.1,0.22,3.0,0.12,flat,curv_flat,0.0,0.22,rew,pen,input_data/stims/Shape_3.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,34.54545689999986,None,None,None,['right'],[0.7048784999997224],[0.3359491999999591],up,1.3128809999998339,None,0,0,0,0,0,5,5,30,66.6342136000003,,,,,,,,,66.61817990000009,0.0005292999999255699,67.50313780000033,67.50353720000021,67.51758740000014,68.51752890000034,68.50105090000034,68.50142890000006,0.0003876999999192776,69.98577130000012,69.98737320000009,70.00101140000015,70.00101140000015,70.00101140000015,70.00101140000015,70.00101140000015,70.00101140000015,70.00101140000015,71.31865040000002,"[0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.128, 0.136, 0.144, 0.152, 0.16, 0.168, 0.176, 0.184, 0.192, 0.2, 0.208, 0.216, 0.224, 0.232, 0.24, 0.248, 0.256, 0.264, 0.272, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28, 0.28]",None,None,['right'],[0.7048784999997224],[0.3359491999999591],up,1.3128809999998339,None,71.31903860000011,71.33436000000029,71.58436720000009,71.56772420000016,71.5680582,71.58436720000009,71.58436720000009,72.58438840000008,72.58438840000008,72.56778650000024,rew,1,3,,,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
6,6,0,1,1,baseline,4,0.5,-0.3,1.0,-0.128,curv,curv_flat,0.0,-0.3,pen,rew,input_data/stims/Shape_0.50_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,34.54545689999986,None,None,None,['left'],[0.5306519000000662],[0.4159892000002401],up,1.0826305000000502,None,0,0,0,0,0,6,6,4,72.58438840000008,,,,,,,,,72.5683097000001,0.0005221999999776017,73.4538434000001,73.45451230000026,73.46772540000029,74.46776150000005,74.4512235000002,74.45160000000033,0.0003845999999612104,75.93620420000025,75.9374227000003,75.95117900000014,75.95117900000014,75.95117900000014,75.95117900000014,75.95117900000014,75.95117900000014,75.95117900000014,77.03544869999996,"[-0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.264, -0.272, -0.28, -0.288, -0.296, -0.304, -0.312, -0.32, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328, -0.328]",None,None,['left'],[0.5306519000000662],[0.4159892000002401],up,1.0826305000000502,None,77.03581290000011,77.05120290000013,77.30119869999999,77.28465649999998,77.28500940000004,77.30119869999999,,78.3011689,,78.2846671000002,pen,1,1,77.30119869999999,78.3011689,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
7,7,0,1,1,baseline,24,2.5,0.1,3.0,-0.028,flat,curv_flat,0.0,0.1,rew,pen,input_data/stims/Shape_2.50_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,34.54545689999986,None,None,None,"['right', 'right']","[0.648037800000111, 1.4159875999998803]","[0.4158917999998266, 0.18388740000000325]",up,1.7999174999999923,None,0,0,0,0,0,7,7,24,78.3011689,,,,,,,,,78.28520100000014,0.0005344999999579159,79.26951280000003,79.27020130000028,79.28454680000004,80.28460080000013,80.26815530000022,80.2685590000001,0.00041280000004917383,81.60381630000029,81.60500709999997,81.6179417000003,81.6179417000003,81.6179417000003,81.6179417000003,81.6179417000003,81.6179417000003,81.6179417000003,83.41888030000018,"[-0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.14, 0.148, 0.156, 0.164, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.18, 0.188, 0.196, 0.204, 0.212, 0.22, 0.228, 0.236, 0.244, 0.252, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26]",None,None,"['right', 'right']","[0.648037800000111, 1.4159875999998803]","[0.4158917999998266, 0.18388740000000325]",up,1.7999174999999923,None,83.41926039999998,83.4346902000002,83.68468770000027,83.66812210000035,83.66846030000033,83.68468770000027,83.68468770000027,84.68470509999997,84.68470509999997,84.66810609999993,rew,1,3,,,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
8,8,0,1,1,baseline,2,0.3,-0.34,1.0,0.172,curv,curv_flat,0.0,-0.34,pen,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,34.54545689999986,None,None,None,['left'],[0.45834469999999783],[0.9999456999998984],up,1.57033679999995,None,0,0,0,0,0,8,8,2,84.68470509999997,,,,,,,,,84.66862540000011,0.0005197999998927116,85.65417400000024,85.65452640000012,85.66806610000003,86.66810040000018,86.6515459000002,86.65192330000036,0.0003866000001835346,88.13583160000007,88.13705359999994,88.15151050000031,88.15151050000031,88.15151050000031,88.15151050000031,88.15151050000031,88.15151050000031,88.15151050000031,89.73578670000006,"[0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.172, 0.164, 0.156, 0.148, 0.14, 0.132, 0.124, 0.116, 0.108, 0.1, 0.092, 0.084, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.236, -0.244, -0.252, -0.26, -0.268, -0.276, -0.284, -0.292, -0.3, -0.308, -0.308, -0.308, -0.308, -0.308, -0.308, -0.308, -0.308, -0.308]",None,None,['left'],[0.45834469999999783],[0.9999456999998984],up,1.57033679999995,None,89.73614300000008,89.75152870000011,90.0015241000001,89.98496550000027,89.98529499999995,90.0015241000001,,91.00156890000017,,90.98500850000028,pen,1,1,90.0015241000001,91.00156890000017,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
9,9,0,1,1,baseline,18,1.9,-0.02,1.0,0.068,curv,curv_flat,0.0,-0.02,pen,rew,input_data/stims/Shape_1.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,34.54545689999986,None,None,None,"['left', 'left', 'left']","[0.6835322000001725, 1.2435779000002185, 1.7476629000002504]","[0.4959585000001425, 0.1279051999999865, 0.0959791000000223]",up,2.3474977000000763,None,0,0,0,0,0,9,9,18,91.00156890000017,,,,,,,,,90.98553690000017,0.0005298999999467924,92.01984740000034,92.02047220000031,92.03494170000022,93.03494210000008,93.01830300000029,93.01867790000006,0.00038230000018302235,94.50383020000027,94.505357,94.51831670000001,94.51831670000001,94.51831670000001,94.51831670000001,94.51831670000001,94.51831670000001,94.51831670000001,96.86929770000006,"[0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.164, -0.164, -0.164, -0.164, -0.164, -0.172, -0.18, -0.188, -0.196, -0.204, -0.212, -0.22, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.228, -0.236, -0.244, -0.252, -0.26, -0.268, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276]",None,None,"['left', 'left', 'left']","[0.6835322000001725, 1.2435779000002185, 1.7476629000002504]","[0.4959585000001425, 0.1279051999999865, 0.0959791000000223]",up,2.3474977000000763,None,96.86969200000021,96.88501810000025,97.13504120000016,97.1184902,97.1188218000002,97.13504120000016,,98.13507340000024,,98.11855080000032,pen,1,1,97.13504120000016,98.13507340000024,,,,,,,,,,,,,,202512,patients,C,2025-07-26_12h47.29.109,asymmetry_final,2024.2.4,60,2025-07-26 12h47.44.103153 -0600,
