thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,valence,correct,outcome,one_cross.started,one_cross.stopped,one_coin.started,one_coin.stopped,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,marker.stopped,slider_resp.stopped,submit_resp.stopped,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,1,0.1,-0.38,1.0,-0.068,curv,flat_curv,0.0,0.38,pen,rew,input_data/stims/Shape_0.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,13.329791999999998,None,None,None,['right'],[1.4664601999998013],[0.36806979999983014],up,2.258564799999931,None,0,0,0,0,0,0,0,1,13.442376999999851,,0.028251000000182103,0.034481400000004214,0.034481400000004214,13.376017000000047,up,13.329791999999998,None,13.43056979999983,0.05454069999996136,14.514526099999784,14.514929800000118,14.52574229999982,15.525663899999927,15.509243900000001,15.509682400000202,0.000447100000201317,16.994421400000192,16.996317799999815,17.00976639999999,17.00976639999999,17.00976639999999,17.00976639999999,17.00976639999999,17.00976639999999,17.00976639999999,19.276746900000035,"[-0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108, 0.108]",None,None,['right'],[1.4664601999998013],[0.36806979999983014],up,2.258564799999931,None,19.277201500000047,19.29247209999994,19.542374499999823,19.52618029999985,19.52661500000022,19.542374499999823,19.542374499999823,20.542413000000124,20.542413000000124,20.526031400000193,rew,1,3,,,,,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
1,1,0,1,1,baseline,12,1.3,-0.14,1.0,-0.256,curv,curv_flat,0.0,-0.14,pen,rew,input_data/stims/Shape_1.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,13.329791999999998,None,None,None,['right'],[0.9670532000000094],[0.631993599999987],up,1.9029983000000357,None,0,0,0,0,0,1,1,12,20.542413000000124,,,,,,,,,20.526655199999823,0.000623500000074273,21.610859599999912,21.611322100000052,21.62586330000022,22.62588679999999,22.60937920000015,22.609833900000012,0.0004636000003301888,24.093825899999956,24.095157700000073,24.109284600000137,24.109284600000137,24.109284600000137,24.109284600000137,24.109284600000137,24.109284600000137,24.109284600000137,26.027113699999973,"[-0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.248, -0.24, -0.232, -0.224, -0.216, -0.208, -0.2, -0.192, -0.184, -0.176, -0.168, -0.16, -0.152, -0.144, -0.136, -0.128, -0.12, -0.112, -0.104, -0.096, -0.088, -0.08, -0.072, -0.064, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032]",None,None,['right'],[0.9670532000000094],[0.631993599999987],up,1.9029983000000357,None,26.02754539999978,26.04263690000016,26.29258680000021,26.276214299999992,26.276649400000224,26.29258680000021,,27.292692999999872,,27.276271799999904,rew,0,-1,26.29258680000021,27.292692999999872,,,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
2,2,0,1,1,baseline,22,2.3,0.06,3.0,0.392,flat,curv_flat,0.0,0.06,rew,pen,input_data/stims/Shape_2.30_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,13.329791999999998,None,None,None,['left'],[0.8609028000000762],[0.3918211000000156],up,1.364784100000179,None,0,0,0,0,0,2,2,22,27.292692999999872,,,,,,,,,27.27691760000016,0.0006458000002567132,28.261461099999906,28.26188400000001,28.276064399999996,29.27615620000006,29.259614900000088,29.26006210000014,0.00045649999992747325,30.54356850000022,30.545233899999857,30.559467699999914,30.559467699999914,30.559467699999914,30.559467699999914,30.559467699999914,30.559467699999914,30.559467699999914,31.927121700000043,"[0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.392, 0.384, 0.376, 0.368, 0.36, 0.352, 0.344, 0.336, 0.328, 0.32, 0.312, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",None,None,['left'],[0.8609028000000762],[0.3918211000000156],up,1.364784100000179,None,31.92753330000005,31.94283200000018,32.192772500000046,32.17636489999995,32.17676429999983,32.192772500000046,,33.192893699999786,,33.1762819999999,pen,1,1,,,32.192772500000046,33.192893699999786,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
3,3,0,1,1,baseline,28,2.9,0.18,3.0,-0.276,flat,curv_flat,0.0,0.18,rew,pen,input_data/stims/Shape_2.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,13.329791999999998,None,None,None,"['right', 'right']","[0.6286316999999144, 1.5164977999997973]","[0.5198639999998704, 0.28814009999996415]",up,1.9405235999997785,None,0,0,0,0,0,3,3,28,33.192893699999786,,,,,,,,,33.1769005000001,0.0006189999999151041,34.06085219999977,34.06169129999989,34.076402300000154,35.07624100000021,35.05972819999988,35.06017239999983,0.00045189999991634977,36.34464680000019,36.34597029999986,36.359698599999774,36.359698599999774,36.359698599999774,36.359698599999774,36.359698599999774,36.359698599999774,36.359698599999774,38.31081970000014,"[-0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.268, -0.26, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116]",None,None,"['right', 'right']","[0.6286316999999144, 1.5164977999997973]","[0.5198639999998704, 0.28814009999996415]",up,1.9405235999997785,None,38.31127310000011,38.32638080000015,38.57633870000018,38.55980899999986,38.56021240000018,38.57633870000018,,39.57637139999997,,39.55988900000011,pen,1,1,,,38.57633870000018,39.57637139999997,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
4,4,0,1,1,baseline,21,2.1,0.02,3.0,-0.076,flat,flat_curv,0.0,-0.02,rew,pen,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,13.329791999999998,None,None,None,"['right', 'left']","[0.43710349999992104, 0.7571052999996937]","[0.2079580999998143, 0.27997830000003887]",up,1.2930014999997184,None,0,0,0,0,0,4,4,21,39.57637139999997,,,,,,,,,39.56051630000002,0.0006265000001803855,40.44586780000009,40.4466639000002,40.45964169999979,41.45969580000019,41.44327310000017,41.44372160000012,0.00045649999992747325,42.92821790000016,42.929702200000065,42.94318699999985,42.94318699999985,42.94318699999985,42.94318699999985,42.94318699999985,42.94318699999985,42.94318699999985,44.244208499999786,"[-0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116]",None,None,"['right', 'left']","[0.43710349999992104, 0.7571052999996937]","[0.2079580999998143, 0.27997830000003887]",up,1.2930014999997184,None,44.24462439999979,44.25977909999983,44.50984440000002,44.493312999999944,44.49371509999992,44.50984440000002,,45.50987309999982,,45.493381899999804,pen,1,1,,,44.50984440000002,45.50987309999982,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
5,5,0,1,1,baseline,16,1.7,-0.06,1.0,-0.396,curv,curv_flat,0.0,-0.06,pen,rew,input_data/stims/Shape_1.70_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,13.329791999999998,None,None,None,"['right', 'right']","[0.8795754000002489, 1.567598099999941]","[0.2879695999999967, 0.4560999999998785]",up,2.2796087000001535,None,0,0,0,0,0,5,5,16,45.50987309999982,,,,,,,,,45.49398830000018,0.0006054999998923449,46.57787580000013,46.578415999999834,46.59328969999979,47.59326740000006,47.57675090000021,47.57720090000021,0.00045870000030845404,49.061141900000166,49.06243919999997,49.076671299999816,49.076671299999816,49.076671299999816,49.076671299999816,49.076671299999816,49.076671299999816,49.076671299999816,51.36111269999992,"[-0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.396, -0.388, -0.38, -0.372, -0.364, -0.356, -0.348, -0.34, -0.332, -0.324, -0.316, -0.308, -0.3, -0.292, -0.284, -0.276, -0.268, -0.26, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.252, -0.244, -0.236, -0.228, -0.22, -0.212, -0.204, -0.196, -0.188, -0.18, -0.172, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036, -0.036]",None,None,"['right', 'right']","[0.8795754000002489, 1.567598099999941]","[0.2879695999999967, 0.4560999999998785]",up,2.2796087000001535,None,51.36158569999998,51.376727200000005,51.626723400000174,51.610191400000076,51.610594299999775,51.626723400000174,51.626723400000174,52.62681070000008,52.62681070000008,52.61035320000019,rew,1,3,,,,,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
6,6,0,1,1,baseline,14,1.5,-0.1,1.0,0.008,curv,curv_flat,0.0,-0.1,pen,rew,input_data/stims/Shape_1.50_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,13.329791999999998,None,None,None,"['right', 'left', 'right']","[0.6946271000001616, 1.1106507000004058, 2.2866281999999956]","[0.20796539999992092, 0.3839890999997806, 0.18392050000011295]",up,2.710682700000234,None,0,0,0,0,0,6,6,14,52.62681070000008,,,,,,,,,52.61096300000008,0.0006088000000090688,53.5951541999998,53.59557880000011,53.61010329999999,54.61005290000003,54.59363609999991,54.594071800000165,0.0004440000002432498,55.87814339999977,55.87942789999988,55.893683599999804,55.893683599999804,55.893683599999804,55.893683599999804,55.893683599999804,55.893683599999804,55.893683599999804,58.61142430000018,"[0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.088, 0.096, 0.104, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.064, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016]",None,None,"['right', 'left', 'right']","[0.6946271000001616, 1.1106507000004058, 2.2866281999999956]","[0.20796539999992092, 0.3839890999997806, 0.18392050000011295]",up,2.710682700000234,None,58.611879600000066,58.626992599999994,58.87702679999984,58.860533099999884,58.86093040000014,58.87702679999984,,59.87702020000006,,59.86083289999988,rew,0,-1,58.87702679999984,59.87702020000006,,,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
7,7,0,1,1,baseline,39,3.9,0.38,3.0,0.152,flat,flat_curv,0.0,-0.38,rew,pen,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,13.329791999999998,None,None,None,['left'],[0.8441405000003215],[0.4560210999998162],up,1.6122049000000516,None,0,0,0,0,0,7,7,39,59.87702020000006,,,,,,,,,59.86146580000013,0.0006333000001177425,60.79641339999989,60.796829100000195,60.81041640000012,61.81101979999994,61.79415710000012,61.79459009999982,0.00044100000013713725,63.13008290000016,63.131644999999935,63.1440576,63.1440576,63.1440576,63.1440576,63.1440576,63.1440576,63.1440576,64.76150490000009,"[0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.152, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.032, 0.024, 0.016, 0.008, 0.0, -0.008, -0.016, -0.024, -0.032, -0.04, -0.048, -0.056, -0.064, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072]",None,None,['left'],[0.8441405000003215],[0.4560210999998162],up,1.6122049000000516,None,64.76192219999984,64.77702640000007,65.0272159000001,65.01052879999997,65.01093330000003,65.0272159000001,,66.0272043,,66.01082589999987,pen,1,1,,,65.0272159000001,66.0272043,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
8,8,0,1,1,baseline,8,0.9,-0.22,1.0,-0.064,curv,curv_flat,0.0,-0.22,pen,rew,input_data/stims/Shape_0.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,13.329791999999998,None,None,None,None,,,up,1.682440300000053,None,0,0,0,0,0,8,8,8,66.0272043,,,,,,,,,66.01144990000012,0.0006253999999898952,67.04495600000018,67.04533859999992,67.0605458,68.06044930000007,68.04412839999986,68.04457000000002,0.0004500000000007276,69.37993099999994,69.38120100000015,69.39380389999997,69.39380389999997,69.39380389999997,69.39380389999997,69.39380389999997,69.39380389999997,69.39380389999997,71.07842140000002,"[-0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064]",None,None,None,,,up,1.682440300000053,None,71.07883300000003,71.09385519999978,71.34393709999995,71.32743389999996,71.3355646,71.34393709999995,,72.34405900000002,,72.32748219999985,rew,0,-1,71.34393709999995,72.34405900000002,,,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
9,9,0,1,1,baseline,11,1.1,-0.18,1.0,0.312,curv,flat_curv,0.0,0.18,pen,rew,input_data/stims/Shape_1.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,13.329791999999998,None,None,None,"['left', 'left']","[0.6176206000000093, 1.209659399999964]","[0.3600405000001956, 0.21612199999981385]",up,1.9855655999999726,None,0,0,0,0,0,9,9,11,72.34405900000002,,,,,,,,,72.32813350000015,0.0006509999998343119,73.2125259999998,73.21292829999993,73.22779899999978,74.22735300000022,74.21085210000001,74.2113088000001,0.00046519999978045234,75.5960199000001,75.59760730000016,75.61063939999985,75.61063939999985,75.61063939999985,75.61063939999985,75.61063939999985,75.61063939999985,75.61063939999985,77.61180479999985,"[0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.312, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.192, 0.184, 0.176, 0.168, 0.16, 0.152, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.144, 0.136, 0.128, 0.12, 0.112, 0.104, 0.096, 0.088, 0.08, 0.072, 0.064, 0.056, 0.048, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]",None,None,"['left', 'left']","[0.6176206000000093, 1.209659399999964]","[0.3600405000001956, 0.21612199999981385]",up,1.9855655999999726,None,77.6122389000002,77.62749510000003,77.87750229999983,77.86086599999999,77.86177129999987,77.87750229999983,77.87750229999983,78.87748590000001,78.87748590000001,78.86091940000006,rew,1,3,,,,,,,,,,,,,,,,,,,,,,,202518,patients,D,2025-10-04_16h05.12.182,asymmetry_final,2024.2.4,60,2025-10-04 16h05.25.163659 -0600,
