thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,valence,correct,outcome,three_coin.started,three_coin.stopped,three_cross.started,three_cross.stopped,one_cross.started,one_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,marker.stopped,slider_resp.stopped,submit_resp.stopped,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,8,0.9,-0.22,1.0,-0.064,curv,curv_flat,0.0,-0.22,pen,rew,input_data/stims/Shape_0.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,25.159822999994503,None,None,None,['left'],[1.1125083999941126],[0.2239603000052739],up,1.5364754000038374,None,0,0,0,0,0,0,0,8,25.248553599987645,,0.027569899975787848,0.034107099985703826,0.034107099985703826,25.198827699990943,up,25.159822999994503,None,25.24641459999839,0.047573499992722645,26.330446199979633,26.330907099996693,26.34949619998224,27.34860719999415,27.3321587999817,27.332620100001805,0.00047259998973459005,28.617379399976926,28.618720999977086,28.633488299994497,28.633488299994497,28.633488299994497,28.633488299994497,28.633488299994497,28.633488299994497,28.633488299994497,30.183103299990762,"[-0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.064, -0.072, -0.08, -0.088, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176]",None,None,['left'],[1.1125083999941126],[0.2239603000052739],up,1.5364754000038374,None,30.183546199987177,30.19871129997773,30.448707799980184,30.432269599987194,30.432676600001287,30.448707799980184,30.448707799980184,31.448790499998722,31.448790499998722,31.43239309999626,pen,1,1,,,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
1,1,0,1,1,baseline,27,2.7,0.14,3.0,0.068,flat,flat_curv,0.0,-0.14,rew,pen,input_data/stims/Shape_2.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,25.159822999994503,None,None,None,['left'],[0.7424910999834538],[0.4640030000009574],up,1.3984730999800377,None,0,0,0,0,0,1,1,27,31.448790499998722,,,,,,,,,31.433006399980513,0.0006108000234235078,32.46712539999862,32.467553399997996,32.482111799996346,33.48212269999203,33.46567700000014,33.46616759998142,0.000506300013512373,34.89996529999189,34.901233799988404,34.915498599992134,34.915498599992134,34.915498599992134,34.915498599992134,34.915498599992134,34.915498599992134,34.915498599992134,36.316615699994145,"[0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.148, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156, -0.156]",None,None,['left'],[0.7424910999834538],[0.4640030000009574],up,1.3984730999800377,None,36.3170276999881,36.332194099988556,36.58220869998331,36.56566919997567,36.56606179999653,36.58220869998331,,37.5822227000026,,37.56581139998161,rew,1,3,36.58220869998331,37.5822227000026,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
2,2,0,1,1,baseline,19,1.9,-0.02,1.0,0.076,curv,flat_curv,0.0,0.02,pen,rew,input_data/stims/Shape_1.90_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,25.159822999994503,None,None,None,['left'],[0.9609572000044864],[0.4160177999874577],up,1.5130011000146624,None,0,0,0,0,0,2,2,19,37.5822227000026,,,,,,,,,37.5664377999783,0.000624899985268712,38.55036110000219,38.550808300002245,38.565642599976854,39.56561859999783,39.5491046999814,39.54953540000133,0.00043700000969693065,40.83425919999718,40.83573819999583,40.84900210000342,40.84900210000342,40.84900210000342,40.84900210000342,40.84900210000342,40.84900210000342,40.84900210000342,42.366728399996646,"[0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.076, 0.068, 0.06, 0.052, 0.044, 0.036, 0.028, 0.02, 0.012, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124, -0.124]",None,None,['left'],[0.9609572000044864],[0.4160177999874577],up,1.5130011000146624,None,42.36714989997563,42.38237139998819,42.63237979999394,42.61584359998233,42.61624129998381,42.63237979999394,,43.632398599991575,,43.61595279999892,pen,0,-3,,,42.63237979999394,43.632398599991575,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
3,3,0,1,1,baseline,20,2.1,0.02,3.0,-0.06,flat,curv_flat,0.0,0.02,rew,pen,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,25.159822999994503,None,None,None,['right'],[1.0787937999994028],[0.33603759997640736],up,1.4947870999749284,None,0,0,0,0,0,3,3,20,43.632398599991575,,,,,,,,,43.61653219998698,0.0005795999895781279,44.551700799987884,44.55217069998616,44.56577259997721,45.565779500000644,45.54933749997872,45.54978199998732,0.00045339998905546963,46.884581399994204,46.88608939998085,46.899171600001864,46.899171600001864,46.899171600001864,46.899171600001864,46.899171600001864,46.899171600001864,46.899171600001864,48.40030499998829,"[-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",None,None,['right'],[1.0787937999994028],[0.33603759997640736],up,1.4947870999749284,None,48.40070999998716,48.415862599998945,48.66586509998888,48.64941069998895,48.64981939998688,48.66586509998888,,49.66589549998753,,49.64939779997803,rew,1,3,48.66586509998888,49.66589549998753,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
4,4,0,1,1,baseline,24,2.5,0.1,3.0,-0.028,flat,curv_flat,0.0,0.1,rew,pen,input_data/stims/Shape_2.50_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,25.159822999994503,None,None,None,['right'],[0.9072145000100136],[0.3040786999918055],up,1.2752345000044443,None,0,0,0,0,0,4,4,24,49.66589549998753,,,,,,,,,49.65000759999384,0.000609199982136488,50.58459329998004,50.58498649997637,50.599278599984245,51.59929369998281,51.582765500003006,51.58320809999714,0.000450699997600168,52.967621499992674,52.968890499992995,52.98270860000048,52.98270860000048,52.98270860000048,52.98270860000048,52.98270860000048,52.98270860000048,52.98270860000048,54.26700729998993,"[-0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.116, 0.116, 0.116, 0.116, 0.116]",None,None,['right'],[0.9072145000100136],[0.3040786999918055],up,1.2752345000044443,None,54.26742049999302,54.28268959998968,54.53271020000102,54.51618129998678,54.51657019997947,54.53271020000102,,55.53275039998698,,55.51660329999868,rew,1,3,54.53271020000102,55.53275039998698,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
5,5,0,1,1,baseline,3,0.3,-0.34,1.0,0.232,curv,flat_curv,0.0,0.34,pen,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,25.159822999994503,None,None,None,"['right', 'left']","[0.6784051000140607, 1.2225402000185568]","[0.1519955999974627, 0.2238655999826733]",up,1.622468600020511,None,0,0,0,0,0,5,5,3,55.53275039998698,,,,,,,,,55.517190999991726,0.0005867000145372003,56.551622099999804,56.55200659998809,56.5661068999907,57.5661734000023,57.54971099999966,57.55015699999058,0.0004532000166364014,58.885430099995574,58.88691479997942,58.8995137999882,58.8995137999882,58.8995137999882,58.8995137999882,58.8995137999882,58.8995137999882,58.8995137999882,60.53391709999414,"[0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.232, 0.24, 0.248, 0.256, 0.264, 0.272, 0.28, 0.288, 0.296, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.304, 0.296, 0.288, 0.28, 0.272, 0.264, 0.256, 0.248, 0.24, 0.232, 0.224, 0.216, 0.208, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",None,None,"['right', 'left']","[0.6784051000140607, 1.2225402000185568]","[0.1519955999974627, 0.2238655999826733]",up,1.622468600020511,None,60.53433860000223,60.54955820000032,60.79953639997984,60.78305729999556,60.7834365000017,60.79953639997984,60.79953639997984,61.79960399999982,61.79960399999982,61.78313939998043,pen,1,1,,,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
6,6,0,1,1,baseline,29,2.9,0.18,3.0,-0.012,flat,flat_curv,0.0,-0.18,rew,pen,input_data/stims/Shape_2.90_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,25.159822999994503,None,None,None,['left'],[0.8555594999925233],[0.2639758000150323],up,1.2555631000141148,None,0,0,0,0,0,6,6,29,61.79960399999982,,,,,,,,,61.7837285999849,0.0005866999854333699,62.76870419998886,62.76908969998476,62.78295100000105,63.782958199997665,63.766516499978025,63.7669664999994,0.000457199988886714,65.05136849998962,65.05261039998732,65.06640589999733,65.06640589999733,65.06640589999733,65.06640589999733,65.06640589999733,65.06640589999733,65.06640589999733,66.33405949998996,"[-0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.124, -0.132, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14]",None,None,['left'],[0.8555594999925233],[0.2639758000150323],up,1.2555631000141148,None,66.33448479999788,66.34969899998396,66.59977899998194,66.58317769999849,66.58357049999177,66.59977899998194,,67.59973779998836,,67.58322430000408,rew,1,3,66.59977899998194,67.59973779998836,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
7,7,0,1,1,baseline,38,3.9,0.38,3.0,0.288,flat,curv_flat,0.0,0.38,rew,pen,input_data/stims/Shape_3.90_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,25.159822999994503,None,None,None,None,,,up,1.0452716000145301,None,0,0,0,0,0,7,7,38,67.59973779998836,,,,,,,,,67.58383219997631,0.0006089000089559704,68.61861839998164,68.61913029997959,68.6331257999991,69.63315339997644,69.6166609999782,69.61710629999288,0.0004535000189207494,70.90190399999847,70.9035176000034,70.9167089999828,70.9167089999828,70.9167089999828,70.9167089999828,70.9167089999828,70.9167089999828,70.9167089999828,71.9681168999814,"[0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288, 0.288]",None,None,None,,,up,1.0452716000145301,None,71.96857519997866,71.9833074999915,72.23331979999784,72.21677939998335,72.22673779999604,72.23331979999784,,73.23334439998143,,73.21685359999537,rew,0,-1,,,,,72.23331979999784,73.23334439998143,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
8,8,0,1,1,baseline,37,3.7,0.34,3.0,-0.136,flat,flat_curv,0.0,-0.34,rew,pen,input_data/stims/Shape_3.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,up,25.159822999994503,None,None,None,['left'],[0.7111187000118662],[0.08800649998011068],up,1.0310814999975264,None,0,0,0,0,0,8,8,37,73.23334439998143,,,,,,,,,73.21746779998648,0.0006224999960977584,74.10233439999865,74.10281889999169,74.11757959998795,75.11699219999718,75.10053529997822,75.1009756999847,0.0004470999992918223,76.43562569998903,76.43691789999139,76.45090629998595,76.45090629998595,76.45090629998595,76.45090629998595,76.45090629998595,76.45090629998595,76.45090629998595,77.4852966000035,"[-0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176]",None,None,['left'],[0.7111187000118662],[0.08800649998011068],up,1.0310814999975264,None,77.48569599998882,77.50092109999969,77.75039529998321,77.73442249998334,77.73532239999622,77.75039529998321,,78.75042709999252,,78.73456319997786,rew,1,3,77.75039529998321,78.75042709999252,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
9,9,0,1,1,baseline,36,3.7,0.34,3.0,-0.032,flat,curv_flat,0.0,0.34,rew,pen,input_data/stims/Shape_3.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,up,25.159822999994503,None,None,None,['right'],[0.7418811999959871],[0.35200080001959577],up,1.2538669000205118,None,0,0,0,0,0,9,9,36,78.75042709999252,,,,,,,,,78.73517179998453,0.0006081000028643757,79.76879919998464,79.76919319998706,79.78437710000435,80.7843740999815,80.76788079997641,80.76831949999905,0.0004470999992918223,82.2526728999801,82.25394830000005,82.26810919999843,82.26810919999843,82.26810919999843,82.26810919999843,82.26810919999843,82.26810919999843,82.26810919999843,83.53545729999314,"[-0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.024, 0.032, 0.04, 0.048, 0.056, 0.064, 0.072, 0.08, 0.088, 0.096, 0.104, 0.112, 0.12, 0.128, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136, 0.136]",None,None,['right'],[0.7418811999959871],[0.35200080001959577],up,1.2538669000205118,None,83.53589899998042,83.55119790000026,83.80057540000416,83.784602300002,83.78498949998175,83.80057540000416,,84.80113379997783,,84.78410729998723,rew,1,3,83.80057540000416,84.80113379997783,,,,,,,,,,,,,,,,,,,,,202521,patients,A,2025-12-12_15h14.47.149,asymmetry_final,2024.2.4,60,2025-12-12 15h14.59.626305 -0700,
